scenario,seed,policy,step_limit,final_alive,final_reached,final_avg_exposure,alive_rate,reached_rate,avg_exposure_total,t90_step,t95_step,faculty_reached_rate,staff_reached_rate,reach_rate_gap,top_bottlenecks,persona_part_time_student_reached_rate,persona_part_time_student_count,persona_young_student_reached_rate,persona_young_student_count,persona_student_with_anxiety_reached_rate,persona_student_with_anxiety_count,persona_facilities_staff_reached_rate,persona_facilities_staff_count,persona_visitor_reached_rate,persona_visitor_count,persona_international_student_reached_rate,persona_international_student_count,persona_junior_faculty_reached_rate,persona_junior_faculty_count,persona_senior_faculty_reached_rate,persona_senior_faculty_count,persona_student_athlete_reached_rate,persona_student_athlete_count,persona_staff_admin_reached_rate,persona_staff_admin_count,persona_graduate_student_reached_rate,persona_graduate_student_count,persona_mobility_impaired_reached_rate,persona_mobility_impaired_count,persona_freshman_student_reached_rate,persona_freshman_student_count,persona_campus_security_reached_rate,persona_campus_security_count,persona_prospective_student_with_parent_reached_rate,persona_prospective_student_with_parent_count,persona_research_scientist_reached_rate,persona_research_scientist_count,persona_adjunct_instructor_reached_rate,persona_adjunct_instructor_count,persona_healthcare_staff_reached_rate,persona_healthcare_staff_count,persona_conference_attendee_reached_rate,persona_conference_attendee_count,role_student_reached_rate,role_student_count,role_staff_reached_rate,role_staff_count,role_visitor_reached_rate,role_visitor_count,role_faculty_reached_rate,role_faculty_count,shelter_reassignments,shelter_capacity_enabled,interaction_density_enabled,persona_it_staff_reached_rate,persona_it_staff_count,drqn_unreached_debug
enterprise_blizzard_extreme,20260227,round_robin,600,55,0,28.2174,1.0,0.0,28.2174,,,0.0,0.0,0.0,1832170542->1832170543:1;1832170502->1527763474:1;12053725114->12053725085:1;375499108->375499060:1;1529819318->1529819343:1;1832170543->1832170545:1;6240395058->10213549225:1,0.0,1,0.0,7,0.0,3,0.0,3,0.0,1,0.0,5,0.0,3,0.0,3,0.0,2,0.0,5,0.0,7,0.0,1,0.0,4,0.0,3,0.0,1,0.0,2,0.0,2,0.0,1,0.0,1,0.0,29,0.0,14,0.0,4,0.0,8,0,False,False,,,
enterprise_blizzard_extreme,20260228,round_robin,600,55,0,34.055,1.0,0.0,34.055,,,0.0,0.0,0.0,10125220321->10125220312:2;13368686572->13368686597:1;10125220312->10125220321:1;3225946497->3225946496:1;12954684800->7013708804:1;10125220312->10125220305:1;1478297367->1478297378:1;11383004568->11383014072:1;7013708804->12954684800:1;11383014072->83631086:1,0.0,3,0.0,9,,,0.0,2,,,0.0,5,0.0,1,0.0,5,0.0,3,0.0,4,0.0,6,,,0.0,5,0.0,1,,,0.0,1,0.0,4,0.0,4,0.0,1,0.0,31,0.0,13,0.0,1,0.0,10,0,False,False,0.0,1,
enterprise_blizzard_extreme,20260229,round_robin,600,55,0,34.7048,1.0,0.0,34.7048,,,0.0,0.0,0.0,12499016766->6489536791:2;11403450171->8968966703:1;8119358268->12499016766:1;10566490492->10566490493:1;359405417->83662412:1;6489536791->12499016766:1;13255088023->13255088027:1;8118847074->83550226:1;6677331620->1859112777:1;13255088027->13255088023:1,0.0,1,0.0,10,0.0,1,0.0,2,0.0,1,0.0,1,0.0,5,0.0,3,,,0.0,3,0.0,8,,,0.0,12,,,0.0,1,0.0,2,0.0,1,0.0,1,,,0.0,33,0.0,11,0.0,2,0.0,9,0,False,False,0.0,3,
enterprise_blizzard_extreme,20260230,round_robin,600,55,1,19.0514,1.0,0.0182,19.0514,,,0.0,0.0833,-0.0833,10220116656->10220116657:2;11548117348->11548117347:1;359414083->83643960:1;1519090111->1525511891:1;10276852271->10276852263:1;10220116657->10220116656:1;8072761012->1218569361:1;8118847444->6501386090:1;10220116657->10220116660:1,0.0,3,0.0,7,0.0,2,0.0,3,0.0,2,0.0,4,0.0,4,0.0,6,0.0,1,0.0,2,0.0,10,,,0.0,3,,,,,,,0.0,1,0.0,3,,,0.0,30,0.0833,12,0.0,2,0.0,11,0,False,False,0.25,4,
enterprise_blizzard_extreme,20260231,round_robin,600,55,0,30.0903,1.0,0.0,30.0903,,,0.0,0.0,0.0,83631107->389042395:1;1520496367->1527763449:1;504886732->370753080:1;13255088294->13255088289:1;10566580567->10566580568:1;7289897501->11552825220:1;1527763449->1527763448:1;1527763448->5901281817:1;9448535777->1218569167:1;5901281817->5901281818:1,0.0,1,0.0,8,0.0,1,,,0.0,1,0.0,4,0.0,6,0.0,6,0.0,3,0.0,3,0.0,6,0.0,1,0.0,8,0.0,2,0.0,1,,,0.0,1,0.0,1,0.0,2,0.0,31,0.0,6,0.0,5,0.0,13,0,False,False,,,
enterprise_blizzard_extreme,20260232,round_robin,600,55,0,41.4008,1.0,0.0,41.4008,,,0.0,0.0,0.0,7290039950->7290039948:2;7290039948->7290039950:1;83531876->389006042:1;11004964052->11004964053:1;10218118504->1525539679:1;7290039948->7256597648:1;4119764204->10200584612:1;384769754->1859112777:1;11383004568->11383014072:1;11383014072->83631086:1,0.0,1,0.0,9,0.0,4,,,0.0,1,0.0,1,0.0,2,0.0,8,0.0,3,0.0,6,0.0,8,0.0,2,0.0,5,0.0,3,,,0.0,1,0.0,1,,,,,0.0,31,0.0,10,0.0,3,0.0,11,0,False,False,,,
enterprise_blizzard_extreme,20260233,round_robin,600,55,1,36.3717,1.0,0.0182,36.3717,,,0.0769,0.0,0.0769,509912240->370753080:2;3620750304->12260496868:1;12954702510->12954702516:1;10942772655->1519096935:1;12954702516->12954702515:1;8118847077->6496723767:1;12954702515->11403450185:1;1218569169->6448827254:1;12260496868->3620750304:1;11403450185->12954702515:1,0.0,1,0.0,18,0.0,1,,,0.0,2,0.0,2,0.0,5,0.1667,6,0.0,3,,,0.0,4,,,0.0,6,0.0,1,,,,,0.0,2,0.0,1,,,0.0,35,0.0,5,0.0,2,0.0769,13,0,False,False,0.0,3,
enterprise_blizzard_extreme,20260234,round_robin,600,55,0,5.5493,1.0,0.0,5.5493,,,0.0,0.0,0.0,,0.0,2,0.0,7,0.0,2,0.0,3,0.0,2,0.0,1,0.0,2,0.0,5,,,0.0,5,0.0,6,,,0.0,9,0.0,4,,,0.0,2,0.0,2,0.0,2,0.0,1,0.0,27,0.0,16,0.0,3,0.0,9,0,False,False,,,
enterprise_blizzard_extreme,20260235,round_robin,600,55,1,35.6952,1.0,0.0182,35.6952,,,0.0,0.0,0.0,10218118437->10218118436:1;384753722->1520496367:1;83516871->1524306601:1;1859112777->6677331620:1;10215084891->10215084889:1;11522077155->11522077156:1;1520496367->1527763449:1;6677331620->1859112777:1;6296618609->6296618618:1;83548005->83594552:1,0.0,1,0.0,11,,,0.0,1,,,0.0,5,0.0,3,0.0,5,0.0,3,0.0,6,0.1429,7,0.0,1,0.0,5,,,,,0.0,1,,,0.0,4,,,0.0312,32,0.0,14,0.0,1,0.0,8,0,False,False,0.0,2,
enterprise_blizzard_extreme,20260236,round_robin,600,55,0,9.7773,1.0,0.0,9.7773,,,0.0,0.0,0.0,11404734779->6091460268:1;5901281818->384753722:1;389051886->6861214969:1;1519095181->391639068:1,,,0.0,13,0.0,2,0.0,3,0.0,1,0.0,3,0.0,1,0.0,3,0.0,3,0.0,6,0.0,10,,,0.0,6,0.0,1,0.0,1,,,,,0.0,1,0.0,1,0.0,37,0.0,11,0.0,3,0.0,4,0,False,False,,,
