scenario,seed,policy,step_limit,final_alive,final_reached,final_avg_exposure,alive_rate,reached_rate,avg_exposure_total,t90_step,t95_step,faculty_reached_rate,staff_reached_rate,reach_rate_gap,top_bottlenecks,persona_part_time_student_reached_rate,persona_part_time_student_count,persona_young_student_reached_rate,persona_young_student_count,persona_student_with_anxiety_reached_rate,persona_student_with_anxiety_count,persona_facilities_staff_reached_rate,persona_facilities_staff_count,persona_visitor_reached_rate,persona_visitor_count,persona_international_student_reached_rate,persona_international_student_count,persona_junior_faculty_reached_rate,persona_junior_faculty_count,persona_senior_faculty_reached_rate,persona_senior_faculty_count,persona_student_athlete_reached_rate,persona_student_athlete_count,persona_it_staff_reached_rate,persona_it_staff_count,persona_staff_admin_reached_rate,persona_staff_admin_count,persona_mobility_impaired_reached_rate,persona_mobility_impaired_count,persona_research_scientist_reached_rate,persona_research_scientist_count,persona_conference_attendee_reached_rate,persona_conference_attendee_count,persona_freshman_student_reached_rate,persona_freshman_student_count,persona_campus_security_reached_rate,persona_campus_security_count,persona_healthcare_staff_reached_rate,persona_healthcare_staff_count,persona_graduate_student_reached_rate,persona_graduate_student_count,persona_adjunct_instructor_reached_rate,persona_adjunct_instructor_count,role_student_reached_rate,role_student_count,role_staff_reached_rate,role_staff_count,role_visitor_reached_rate,role_visitor_count,role_faculty_reached_rate,role_faculty_count,shelter_reassignments,shelter_capacity_enabled,interaction_density_enabled,persona_prospective_student_with_parent_reached_rate,persona_prospective_student_with_parent_count,drqn_unreached_debug
enterprise_blizzard_light,20260227,round_robin,600,55,2,309.3655,1.0,0.0364,309.3655,,,0.0,0.0,0.0,9739875459->1467764379:13;1467764379->9739875459:13;9739875461->9739875459:12;4971422293->1467750167:12;9739875459->9739875461:12;1467750167->4971422293:11;11911586393->1525461646:8;7245459879->7245459884:8;83561764->1460665007:8;1460665007->83561764:8,0.0,2,0.0,6,0.0,3,0.0,4,0.0,1,0.0,7,0.0,2,0.0,6,0.0,4,0.0,1,0.0,2,0.0,1,0.0,1,0.0,3,0.1667,6,0.0,2,0.0,2,1.0,1,0.0,1,0.069,29,0.0,12,0.0,5,0.0,9,0,False,False,,,
enterprise_blizzard_light,20260228,round_robin,600,55,1,303.755,1.0,0.0182,303.755,,,0.1111,0.0,0.1111,1218569167->9448535778:12;4971422293->1467750167:11;9448535778->1218569149:11;9448535777->1218569167:11;1467750167->4971422293:10;12507265559->11632214137:10;1218569149->9448535775:8;12154754710->6005135089:8;11632214137->12507265559:8;9448535775->9448535777:8,0.0,2,0.0,8,0.0,1,0.0,2,,,0.0,7,1.0,1,0.0,5,0.0,2,0.0,1,0.0,5,,,0.0,1,0.0,1,0.0,6,0.0,1,0.0,3,0.0,6,0.0,3,0.0,32,0.0,13,0.0,1,0.1111,9,0,False,False,,,
enterprise_blizzard_light,20260229,round_robin,600,55,1,313.6911,1.0,0.0182,313.6911,,,0.0,0.1,-0.1,359405417->83662412:14;83662412->359405417:12;1218569167->9448535778:7;9448535778->1218569149:7;8118847396->8118847395:7;8118847395->8118847396:7;9448535777->1218569167:6;1218569149->9448535775:6;7245509787->83531876:6;83531876->7245509787:5,0.0,1,0.0,7,0.0,3,0.0,2,0.0,2,0.0,1,0.0,3,0.0,7,0.0,1,0.3333,3,0.0,2,,,0.0,2,0.0,1,0.0,9,0.0,1,,,0.0,7,0.0,1,0.0,29,0.1,10,0.0,5,0.0,11,0,False,False,0.0,2,
enterprise_blizzard_light,20260230,round_robin,600,55,0,298.1682,1.0,0.0,298.1682,,,0.0,0.0,0.0,504886729->1218569207:20;1218569207->504886729:19;1478297378->1478297367:8;1530225921->1530225908:7;10220116630->10220116642:7;4937830302->1525526424:7;6296618615->6296618618:7;12293992388->12293992391:7;12293992391->12293992388:7;1530225908->1530225921:6,0.0,2,0.0,5,0.0,2,0.0,5,0.0,1,0.0,1,0.0,3,0.0,6,0.0,1,0.0,5,0.0,1,,,,,0.0,1,0.0,8,0.0,1,0.0,3,0.0,9,0.0,1,0.0,28,0.0,15,0.0,2,0.0,10,0,False,False,,,
enterprise_blizzard_light,20260231,round_robin,600,55,2,324.5257,1.0,0.0364,324.5257,,,0.0,0.1429,-0.1429,8118847437->5271377448:11;83512191->83536947:10;5271377448->8118847437:10;83536947->83512191:9;8119358243->7671131571:8;7671131571->8119358243:7;83512191->384765307:6;384765307->83512191:6;10550594576->10550594575:6;10550594575->10550594576:6,0.0,1,0.0,6,0.0,2,0.5,2,0.0,2,0.0,4,0.0,5,0.0,4,0.0,3,,,0.0,2,0.0,2,,,0.5,2,0.0,7,0.0,1,0.0,2,0.0,8,0.0,1,0.0,31,0.1429,7,0.1429,7,0.0,10,0,False,False,0.0,1,
enterprise_blizzard_light,20260232,round_robin,600,55,4,312.0512,1.0,0.0727,312.0512,,,0.0,0.1111,-0.1111,4960811690->2274089444:15;12238573255->6296645355:14;2274089444->4960811690:14;6296645355->12238573255:13;8118847446->6501386090:8;6501386090->8118847444:8;83531908->83512191:8;8118847444->8118847446:7;83662412->359405417:7;10554878463->1519095265:7,0.0,1,0.1,10,0.0,5,0.0,1,0.0,2,,,0.0,2,0.0,6,0.0,4,0.0,3,0.25,4,,,0.0,1,0.0,1,0.0,7,,,,,0.2857,7,0.0,1,0.0882,34,0.1111,9,0.0,3,0.0,9,0,False,False,,,
enterprise_blizzard_light,20260233,round_robin,600,55,3,313.2889,1.0,0.0545,313.2889,,,0.0833,0.1429,-0.0595,7179320496->11404640128:13;11404640128->384769998:13;384769998->7179320504:12;1218569207->504886729:10;389015304->11048144362:10;504886729->1218569207:9;11048144362->389015304:9;7290039964->4175040145:9;5271378059->10905690937:9;10905690937->5271378059:9,0.0,1,0.0,13,0.0,3,,,0.0,1,0.0,1,0.0,3,0.1667,6,0.0,3,0.0,3,0.3333,3,,,,,,,0.0,8,,,0.0,1,0.1667,6,0.0,3,0.0286,35,0.1429,7,0.0,1,0.0833,12,0,False,False,,,
enterprise_blizzard_light,20260234,round_robin,600,55,3,294.7971,1.0,0.0545,294.7971,,,0.0,0.0667,-0.0667,370753080->8118847073:15;8118847073->370753080:15;8118847140->8118847139:8;8118847139->8118847140:8;10220116657->10220116660:7;10220116660->10220116657:7;10218118436->1525539668:7;1525539668->10218118436:7;1520496415->1520496406:6;83662412->359405417:6,0.0,2,0.0,8,0.0,4,0.25,4,0.0,1,,,0.0,2,0.0,5,0.3333,3,,,0.0,3,,,0.0,3,0.0,2,0.0,6,0.0,3,0.0,2,0.1429,7,,,0.0667,30,0.0667,15,0.0,3,0.0,7,0,False,False,,,
enterprise_blizzard_light,20260235,round_robin,600,55,1,317.4523,1.0,0.0182,317.4523,,,0.1429,0.0,0.1429,10206645921->10206645971:18;10206645971->10206645921:17;83536947->83512191:15;83531908->83512191:13;83512191->83536947:13;83512191->83531908:11;384765307->83560917:11;1520496331->1520496344:10;1520496344->1520496331:10;8119358242->7671131570:9,0.0,3,0.0,9,0.0,2,,,,,0.0,5,0.0,2,0.25,4,0.0,1,0.0,2,0.0,3,0.0,1,0.0,3,,,0.0,9,0.0,1,0.0,1,0.0,8,0.0,1,0.0,37,0.0,10,0.0,1,0.1429,7,0,False,False,,,
enterprise_blizzard_light,20260236,round_robin,600,55,4,313.0218,1.0,0.0727,313.0218,,,0.3333,0.1667,0.1667,9448536887->8118847155:15;8118847155->9448536887:13;504886729->1218569207:8;3620750303->5901283412:8;5901283412->5901283409:8;83662412->359405417:8;359405417->83662412:8;8118847345->8118847344:8;1218569207->504886729:7;83556534->359405417:7,0.0,1,0.0,7,0.0,1,0.2,5,0.0,2,0.0,5,0.5,2,0.0,1,0.0,3,0.0,1,0.1429,7,,,0.0,2,0.0,1,0.0,7,0.5,2,0.0,1,0.0,7,,,0.0,31,0.1667,18,0.0,3,0.3333,3,0,False,False,,,
