scenario,seed,policy,step_limit,final_alive,final_reached,final_avg_exposure,alive_rate,reached_rate,avg_exposure_total,t90_step,t95_step,faculty_reached_rate,staff_reached_rate,reach_rate_gap,top_bottlenecks,persona_part_time_student_reached_rate,persona_part_time_student_count,persona_young_student_reached_rate,persona_young_student_count,persona_student_with_anxiety_reached_rate,persona_student_with_anxiety_count,persona_facilities_staff_reached_rate,persona_facilities_staff_count,persona_visitor_reached_rate,persona_visitor_count,persona_international_student_reached_rate,persona_international_student_count,persona_junior_faculty_reached_rate,persona_junior_faculty_count,persona_senior_faculty_reached_rate,persona_senior_faculty_count,persona_student_athlete_reached_rate,persona_student_athlete_count,persona_it_staff_reached_rate,persona_it_staff_count,persona_staff_admin_reached_rate,persona_staff_admin_count,persona_mobility_impaired_reached_rate,persona_mobility_impaired_count,persona_research_scientist_reached_rate,persona_research_scientist_count,persona_conference_attendee_reached_rate,persona_conference_attendee_count,persona_freshman_student_reached_rate,persona_freshman_student_count,persona_campus_security_reached_rate,persona_campus_security_count,persona_healthcare_staff_reached_rate,persona_healthcare_staff_count,persona_graduate_student_reached_rate,persona_graduate_student_count,persona_adjunct_instructor_reached_rate,persona_adjunct_instructor_count,role_student_reached_rate,role_student_count,role_staff_reached_rate,role_staff_count,role_visitor_reached_rate,role_visitor_count,role_faculty_reached_rate,role_faculty_count,shelter_reassignments,shelter_capacity_enabled,interaction_density_enabled,persona_prospective_student_with_parent_reached_rate,persona_prospective_student_with_parent_count,drqn_unreached_debug
enterprise_blizzard_moderate,20260227,round_robin,600,55,0,21.9275,1.0,0.0,21.9275,,,0.0,0.0,0.0,6548018098->6676944196:2;5901281818->384753722:1;11963678444->11963678445:1;5271377938->8118847286:1;6676944196->6548018098:1;384753722->1520496367:1,0.0,2,0.0,6,0.0,3,0.0,4,0.0,1,0.0,7,0.0,2,0.0,6,0.0,4,0.0,1,0.0,2,0.0,1,0.0,1,0.0,3,0.0,6,0.0,2,0.0,2,0.0,1,0.0,1,0.0,29,0.0,12,0.0,5,0.0,9,0,False,False,,,
enterprise_blizzard_moderate,20260228,round_robin,600,55,0,6.1049,1.0,0.0,6.1049,,,0.0,0.0,0.0,,0.0,1,0.0,10,0.0,2,0.0,2,,,0.0,7,,,0.0,5,0.0,2,0.0,1,0.0,3,,,0.0,1,0.0,1,0.0,6,0.0,1,0.0,3,0.0,6,0.0,4,0.0,34,0.0,11,0.0,1,0.0,9,0,False,False,,,
enterprise_blizzard_moderate,20260229,round_robin,600,55,0,12.6819,1.0,0.0,12.6819,,,0.0,0.0,0.0,12954702502->12954702510:1,0.0,1,0.0,7,0.0,3,0.0,2,0.0,2,0.0,1,0.0,3,0.0,7,0.0,1,0.0,3,0.0,2,,,0.0,2,0.0,1,0.0,9,0.0,1,,,0.0,7,0.0,1,0.0,29,0.0,10,0.0,5,0.0,11,0,False,False,0.0,2,
enterprise_blizzard_moderate,20260230,round_robin,600,55,0,34.5727,1.0,0.0,34.5727,,,0.0,0.0,0.0,6296618615->6296618618:2;1400445717->12099873432:2;6296618618->6296618615:2;12099873432->1400445717:2;4950056224->1400581570:1;11548117348->11548117347:1;7245480017->7245480025:1;83660805->83634249:1;5808043281->5808043282:1;12507265618->12507265602:1,0.0,3,0.0,7,0.0,2,0.0,3,0.0,1,0.0,1,0.0,3,0.0,6,0.0,1,0.0,4,0.0,2,,,,,0.0,1,0.0,6,,,0.0,3,0.0,11,0.0,1,0.0,31,0.0,12,0.0,2,0.0,10,0,False,False,,,
enterprise_blizzard_moderate,20260231,round_robin,600,55,0,6.2322,1.0,0.0,6.2322,,,0.0,0.0,0.0,,0.0,1,0.0,6,0.0,2,0.0,2,0.0,2,0.0,4,0.0,5,0.0,4,0.0,3,,,0.0,2,0.0,2,,,0.0,2,0.0,7,0.0,1,0.0,2,0.0,8,0.0,1,0.0,31,0.0,7,0.0,7,0.0,10,0,False,False,0.0,1,
enterprise_blizzard_moderate,20260232,round_robin,600,55,1,73.5861,1.0,0.0182,73.5861,,,0.0,0.0,0.0,9377505137->10557315381:4;10557315381->9377505137:4;11548067575->11428442638:2;11428442638->11548067575:2;10125220341->10125220344:2;5271377457->10938415728:2;83520513->83594555:1;7466253349->8118847261:1;6501386090->8118847444:1;83594555->83520513:1,0.0,1,0.0,12,0.0,3,,,0.0,2,0.3333,3,0.0,2,0.0,5,0.0,3,0.0,2,0.0,2,0.0,1,0.0,1,0.0,1,0.0,7,0.0,1,0.0,1,0.0,6,0.0,2,0.0286,35,0.0,7,0.0,4,0.0,9,0,False,False,,,
enterprise_blizzard_moderate,20260233,round_robin,600,55,0,59.6238,1.0,0.0,59.6238,,,0.0,0.0,0.0,6677331642->11548117359:3;11548117359->6677331642:3;384765307->83512191:2;509912240->370753080:2;13199976131->4374241287:1;5901281817->5901281818:1;5901281818->384753722:1;5798161560->10200584576:1;12563424114->12563424115:1;10200584576->5798161560:1,0.0,1,0.0,13,0.0,3,,,0.0,1,0.0,1,0.0,3,0.0,6,0.0,3,0.0,3,0.0,3,,,,,,,0.0,8,,,0.0,1,0.0,6,0.0,3,0.0,35,0.0,7,0.0,1,0.0,12,0,False,False,,,
enterprise_blizzard_moderate,20260234,round_robin,600,55,0,34.0262,1.0,0.0,34.0262,,,0.0,0.0,0.0,12507265501->12507229797:2;1526930861->4937830298:1;8118847451->6496723770:1;1529792857->8073164096:1;10550594431->10550594437:1;6547997471->6547997470:1;12507229797->12507265501:1;11963951764->11963951757:1;12342784360->12342784361:1,0.0,2,0.0,8,0.0,4,0.0,4,0.0,1,,,0.0,2,0.0,5,0.0,3,,,0.0,3,,,0.0,3,0.0,2,0.0,6,0.0,3,0.0,2,0.0,7,,,0.0,30,0.0,15,0.0,3,0.0,7,0,False,False,,,
enterprise_blizzard_moderate,20260235,round_robin,600,55,0,6.3038,1.0,0.0,6.3038,,,0.0,0.0,0.0,,0.0,3,0.0,9,0.0,3,,,,,0.0,4,0.0,2,0.0,4,0.0,2,0.0,2,0.0,2,0.0,2,0.0,3,,,0.0,8,0.0,1,0.0,2,0.0,7,0.0,1,0.0,36,0.0,10,0.0,2,0.0,7,0,False,False,,,
enterprise_blizzard_moderate,20260236,round_robin,600,55,0,146.1739,1.0,0.0,146.1739,,,0.0,0.0,0.0,9448535778->1218569149:4;1818360082->5297802776:3;9448535777->1218569167:3;1218569167->9448535778:3;10213549225->10213549220:3;8496637478->8496637477:3;10213549220->10213549225:3;1218569149->9448535777:2;11383004568->11383014072:2;11383014072->83631086:2,0.0,1,0.0,7,0.0,1,0.0,5,0.0,1,0.0,5,0.0,2,0.0,1,0.0,3,0.0,1,0.0,7,,,0.0,1,0.0,1,0.0,8,0.0,2,0.0,1,0.0,8,,,0.0,33,0.0,17,0.0,2,0.0,3,0,False,False,,,
