scenario,seed,policy,step_limit,final_alive,final_reached,final_avg_exposure,alive_rate,reached_rate,avg_exposure_total,t90_step,t95_step,faculty_reached_rate,staff_reached_rate,reach_rate_gap,top_bottlenecks,persona_part_time_student_reached_rate,persona_part_time_student_count,persona_young_student_reached_rate,persona_young_student_count,persona_student_with_anxiety_reached_rate,persona_student_with_anxiety_count,persona_facilities_staff_reached_rate,persona_facilities_staff_count,persona_visitor_reached_rate,persona_visitor_count,persona_international_student_reached_rate,persona_international_student_count,persona_junior_faculty_reached_rate,persona_junior_faculty_count,persona_senior_faculty_reached_rate,persona_senior_faculty_count,persona_student_athlete_reached_rate,persona_student_athlete_count,persona_it_staff_reached_rate,persona_it_staff_count,persona_staff_admin_reached_rate,persona_staff_admin_count,persona_mobility_impaired_reached_rate,persona_mobility_impaired_count,persona_research_scientist_reached_rate,persona_research_scientist_count,persona_conference_attendee_reached_rate,persona_conference_attendee_count,persona_freshman_student_reached_rate,persona_freshman_student_count,persona_campus_security_reached_rate,persona_campus_security_count,persona_healthcare_staff_reached_rate,persona_healthcare_staff_count,persona_graduate_student_reached_rate,persona_graduate_student_count,persona_adjunct_instructor_reached_rate,persona_adjunct_instructor_count,role_student_reached_rate,role_student_count,role_staff_reached_rate,role_staff_count,role_visitor_reached_rate,role_visitor_count,role_faculty_reached_rate,role_faculty_count,shelter_reassignments,shelter_capacity_enabled,interaction_density_enabled,drqn_unreached_debug,persona_prospective_student_with_parent_reached_rate,persona_prospective_student_with_parent_count
enterprise_blizzard_light,20260227,drqn,600,55,42,59.8803,1.0,0.7636,59.8803,,,1.0,0.8333,0.1667,1519095190->9969324133:267;9969324133->1519095190:263;11181443770->11181443779:12;11181443779->386248026:12;386248026->1530473146:12;1530473146->1530466308:12;1530466308->1400583683:12;1400583683->10554874821:12;10554874821->1530466290:12;1530466290->10554874840:12,1.0,2,0.6667,6,0.6667,3,1.0,4,1.0,1,0.5714,7,1.0,2,1.0,6,1.0,4,1.0,1,1.0,2,1.0,1,1.0,1,0.6667,3,0.5,6,0.5,2,0.5,2,0.0,1,1.0,1,0.6552,29,0.8333,12,0.8,5,1.0,9,0,False,False,"[{'agent_id': 37, 'node': 10200584614, 'goal': 13195940221, 'current_target': 1519089984, 'committed_next': None, 'candidates': [9969324135, 1519095190, 10200584607, 6641888101], 'q_values': [53.780757904052734, 54.53885269165039, 56.500492095947266, 55.79402542114258, 52.4981689453125, 78.85613250732422, 0.8205795288085938, -0.2365306317806244, 0.2736007571220398], 'masked_q_values': [-1000000000.0, 54.53885269165039, 56.500492095947266, 55.79402542114258, 52.4981689453125, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 1, 1, 1, 0, 0, 0, 0], 'density_penalties': {}}]",,
enterprise_blizzard_light,20260228,drqn,600,55,40,7.746,1.0,0.7273,7.746,,,0.7778,0.6923,0.0855,10171975058->10550594356:8;10550594356->10550594344:8;10550594344->10550594430:8;10550594430->10550594431:8;10550594431->10550594437:8;10550594437->10550594435:8;10550594435->10550594420:8;10550594420->10550594470:8;10550594470->6620771272:8;12471684056->1530225890:8,0.5,2,0.875,8,0.0,1,0.5,2,,,0.5714,7,0.0,1,0.8,5,1.0,2,0.0,1,0.6,5,,,1.0,1,1.0,1,0.6667,6,1.0,1,1.0,3,0.8333,6,1.0,3,0.7188,32,0.6923,13,1.0,1,0.7778,9,0,False,False,[],,
enterprise_blizzard_light,20260229,drqn,600,55,40,64.5484,1.0,0.7273,64.5484,,,0.9091,0.9,0.0091,10215084891->10215084893:285;10215084893->10215084891:284;1525511891->6575669631:13;6575669631->6575669632:13;6575669632->6575669629:13;7245459837->11206886817:12;11206886817->11206886815:12;11206886815->8473506958:12;8473506958->6615501684:12;10171975058->10171990457:11,0.0,1,0.7143,7,0.0,3,1.0,2,0.5,2,0.0,1,1.0,3,0.8571,7,1.0,1,1.0,3,1.0,2,,,0.5,2,0.0,1,0.7778,9,1.0,1,,,0.8571,7,1.0,1,0.6552,29,0.9,10,0.4,5,0.9091,11,0,False,False,"[{'agent_id': 20, 'node': 10215084893, 'goal': 83561759, 'current_target': 10215084948, 'committed_next': None, 'candidates': [10215084879, 10215084891, 1530206554], 'q_values': [-1.1624237298965454, 0.6581196784973145, 4.0255255699157715, 2.018362522125244, -0.05451250076293945, 28.09504508972168, 0.8157596588134766, -0.020255178213119507, 0.23670198023319244], 'masked_q_values': [-1000000000.0, 0.6581196784973145, 4.0255255699157715, 2.018362522125244, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 1, 1, 0, 0, 0, 0, 0], 'density_penalties': {}}]",0.5,2
enterprise_blizzard_light,20260230,drqn,600,55,42,13.6088,1.0,0.7636,13.6088,,,0.8,0.9333,-0.1333,5836227408->1530414144:10;10776295223->10776295218:9;10776295218->390072670:9;390072670->7447452235:9;7447452235->10776295026:9;10776295026->10776295030:9;10220116648->10220116649:8;7157724650->7157724652:8;7157724652->1671363259:8;1671363259->10776295223:8,0.5,2,0.8,5,0.0,2,1.0,5,1.0,1,1.0,1,1.0,3,0.6667,6,1.0,1,1.0,5,1.0,1,,,,,0.0,1,0.625,8,1.0,1,0.6667,3,0.7778,9,1.0,1,0.6786,28,0.9333,15,0.5,2,0.8,10,0,False,False,[],,
enterprise_blizzard_light,20260231,drqn,600,55,41,60.2465,1.0,0.7455,60.2465,,,0.8,0.7143,0.0857,10215084891->10215084893:287;10215084893->10215084891:286;10566580568->10566580567:15;10566580567->13276899743:15;13276899743->6677331627:15;7245480014->7245459856:13;7245459856->7245459855:13;7245459855->7256764794:13;7256764794->7245480025:13;7245480025->11378617113:13,0.0,1,1.0,6,0.5,2,0.5,2,0.5,2,0.5,4,0.8,5,0.75,4,1.0,3,,,1.0,2,0.5,2,,,0.5,2,0.7143,7,1.0,1,0.5,2,0.875,8,1.0,1,0.7742,31,0.7143,7,0.5714,7,0.8,10,0,False,False,"[{'agent_id': 21, 'node': 10215084893, 'goal': 1638160534, 'current_target': 10215084878, 'committed_next': None, 'candidates': [10215084879, 10215084891, 1530206554], 'q_values': [-8.354835510253906, -6.723020076751709, -3.8507280349731445, -5.457764625549316, -6.513078689575195, 23.199974060058594, 0.7385929822921753, -0.07868722826242447, 0.25738823413848877], 'masked_q_values': [-1000000000.0, -6.723020076751709, -3.8507280349731445, -5.457764625549316, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 1, 1, 0, 0, 0, 0, 0], 'density_penalties': {}}]",1.0,1
enterprise_blizzard_light,20260232,drqn,600,55,42,17.1864,1.0,0.7636,17.1864,,,0.7778,0.6667,0.1111,1530225948->6677697018:13;6448827255->6448827254:10;6448827254->6404901788:10;6404901788->5271377955:9;6983068125->10207853478:9;10207853478->6240395061:9;6240395061->6983068097:9;83520513->83594552:8;7245480014->7245459856:8;7245459856->7245459855:8,1.0,1,0.6,10,1.0,5,1.0,1,0.5,2,,,1.0,2,0.8333,6,1.0,4,0.3333,3,1.0,4,,,0.0,1,1.0,1,0.8571,7,,,,,0.7143,7,0.0,1,0.7941,34,0.6667,9,0.6667,3,0.7778,9,0,False,False,[],,
enterprise_blizzard_light,20260233,drqn,600,55,46,10.4087,1.0,0.8364,10.4087,,,0.75,1.0,-0.25,1525526373->1519090049:10;6448823287->1530225890:8;1530225890->12471684056:8;12471684056->1530225862:8;1530225862->1530225806:8;4374241307->4374241312:7;4374241312->4374241316:7;7400658636->4374241319:7;1519095166->1519095169:7;1519095169->1519095168:7,1.0,1,0.7692,13,0.6667,3,,,1.0,1,0.0,1,1.0,3,0.5,6,1.0,3,1.0,3,1.0,3,,,,,,,0.875,8,,,1.0,1,1.0,6,1.0,3,0.8286,35,1.0,7,1.0,1,0.75,12,0,False,False,[],,
enterprise_blizzard_light,20260234,drqn,600,55,42,11.5961,1.0,0.7636,11.5961,,,0.8571,0.8,0.0571,1525435911->1525435915:9;10550594420->10550594470:8;10550594470->6620771272:8;6620771272->6620771273:8;6620771273->10550646564:8;10550646564->6620830799:8;6620830799->6620830800:8;6620830800->11206886789:8;6615501684->8473506958:7;8473506958->11206886815:7,0.5,2,0.875,8,0.25,4,0.75,4,1.0,1,,,1.0,2,0.8,5,0.3333,3,,,0.6667,3,,,0.6667,3,0.5,2,0.8333,6,1.0,3,1.0,2,1.0,7,,,0.7333,30,0.8,15,0.6667,3,0.8571,7,0,False,False,[],,
enterprise_blizzard_light,20260235,drqn,600,55,42,58.1792,1.0,0.7636,58.1792,,,0.8571,1.0,-0.1429,8118847378->8118847382:292;8118847382->8118847378:291;6448827255->6448827254:10;1407781207->1400441858:10;83536947->83512191:10;83512191->83536947:10;384765307->83512191:9;83512191->384765307:9;13087255069->1400441888:8;1400441888->1407781207:8,0.3333,3,0.5556,9,0.5,2,,,,,0.6,5,1.0,2,1.0,4,1.0,1,1.0,2,1.0,3,1.0,1,1.0,3,,,0.6667,9,1.0,1,1.0,1,1.0,8,0.0,1,0.6757,37,1.0,10,1.0,1,0.8571,7,0,False,False,"[{'agent_id': 39, 'node': 8118847382, 'goal': 1400441858, 'current_target': 8118847375, 'committed_next': None, 'candidates': [8118847381, 8118847378, 8118847380, 8118847379], 'q_values': [31.448293685913086, 32.91015625, 35.59331130981445, 33.85333251953125, 30.387815475463867, 62.966400146484375, 0.762161135673523, -0.21494756639003754, 0.1739422231912613], 'masked_q_values': [-1000000000.0, 32.91015625, 35.59331130981445, 33.85333251953125, 30.387815475463867, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 1, 1, 1, 0, 0, 0, 0], 'density_penalties': {}}]",,
enterprise_blizzard_light,20260236,drqn,600,55,46,46.6636,1.0,0.8364,46.6636,,,1.0,0.8889,0.1111,1530466290->1400583670:283;1400583670->1530466290:283;1530225767->83716675:22;1530225948->6677697018:16;6677697018->1530225821:16;1530225821->10200333101:16;10200333101->1530225767:16;1530206531->11965813832:14;11965813832->1530225948:14;6240395061->6983068097:13,1.0,1,1.0,7,1.0,1,1.0,5,1.0,2,0.6,5,1.0,2,1.0,1,1.0,3,1.0,1,0.7143,7,,,1.0,2,1.0,1,0.4286,7,1.0,2,1.0,1,0.8571,7,,,0.7742,31,0.8889,18,1.0,3,1.0,3,0,False,False,"[{'agent_id': 8, 'node': 1530466290, 'goal': 12372272604, 'current_target': 10554874837, 'committed_next': None, 'candidates': [10554874840, 1400583670, 10554874821], 'q_values': [14.668436050415039, 17.13935661315918, 22.409425735473633, 21.073244094848633, 18.18140983581543, 51.168212890625, 0.7477231025695801, -0.26195842027664185, 0.2635223865509033], 'masked_q_values': [-1000000000.0, 17.13935661315918, 22.409425735473633, 21.073244094848633, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 1, 1, 0, 0, 0, 0, 0], 'density_penalties': {}}]",,
