scenario,seed,policy,step_limit,final_alive,final_reached,final_avg_exposure,alive_rate,reached_rate,avg_exposure_total,t90_step,t95_step,faculty_reached_rate,staff_reached_rate,reach_rate_gap,top_bottlenecks,persona_part_time_student_reached_rate,persona_part_time_student_count,persona_young_student_reached_rate,persona_young_student_count,persona_student_with_anxiety_reached_rate,persona_student_with_anxiety_count,persona_facilities_staff_reached_rate,persona_facilities_staff_count,persona_visitor_reached_rate,persona_visitor_count,persona_international_student_reached_rate,persona_international_student_count,persona_junior_faculty_reached_rate,persona_junior_faculty_count,persona_senior_faculty_reached_rate,persona_senior_faculty_count,persona_student_athlete_reached_rate,persona_student_athlete_count,persona_it_staff_reached_rate,persona_it_staff_count,persona_staff_admin_reached_rate,persona_staff_admin_count,persona_mobility_impaired_reached_rate,persona_mobility_impaired_count,persona_research_scientist_reached_rate,persona_research_scientist_count,persona_conference_attendee_reached_rate,persona_conference_attendee_count,persona_freshman_student_reached_rate,persona_freshman_student_count,persona_campus_security_reached_rate,persona_campus_security_count,persona_healthcare_staff_reached_rate,persona_healthcare_staff_count,persona_graduate_student_reached_rate,persona_graduate_student_count,persona_adjunct_instructor_reached_rate,persona_adjunct_instructor_count,role_student_reached_rate,role_student_count,role_staff_reached_rate,role_staff_count,role_visitor_reached_rate,role_visitor_count,role_faculty_reached_rate,role_faculty_count,shelter_reassignments,shelter_capacity_enabled,interaction_density_enabled,drqn_unreached_debug,persona_prospective_student_with_parent_reached_rate,persona_prospective_student_with_parent_count
enterprise_blizzard_moderate,20260227,drqn,600,55,32,157.1835,1.0,0.5818,157.1835,,,1.0,0.6667,0.3333,10276807684->6983068119:196;6983068119->10276807684:194;11406520114->1526930861:192;1526930861->11406520114:189;6642222413->11353322017:184;11353322017->6642222413:183;8119328774->8119328771:164;8119328771->8119328774:164;7256764744->7256764745:159;7256764745->7256764744:158,0.5,2,0.3333,6,0.3333,3,1.0,4,0.0,1,0.2857,7,1.0,2,1.0,6,0.75,4,1.0,1,1.0,2,1.0,1,0.0,1,1.0,3,0.3333,6,0.5,2,0.0,2,0.0,1,1.0,1,0.3793,29,0.6667,12,0.8,5,1.0,9,0,False,False,"[{'agent_id': 3, 'node': 11098414814, 'goal': 13195940221, 'current_target': 13195940221, 'committed_next': None, 'candidates': [], 'q_values': [-109.49213409423828, -110.11164855957031, -95.04912567138672, -99.40471649169922, -97.31806182861328, -38.89189910888672, -0.3163829445838928, 0.03372299671173096, 0.34590059518814087], 'masked_q_values': [-109.49213409423828, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 5, 'node': 13255088027, 'goal': 13195940221, 'current_target': 13195940221, 'committed_next': None, 'candidates': [13255088053, 13255088028], 'q_values': [-67.49768829345703, -67.62647247314453, -56.52998733520508, -60.307376861572266, -59.255062103271484, -9.017688751220703, 0.28572142124176025, 0.16577747464179993, 0.24339310824871063], 'masked_q_values': [-1000000000.0, -67.62647247314453, -56.52998733520508, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 1, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 6, 'node': 6983068119, 'goal': 13195940221, 'current_target': 13195940221, 'committed_next': None, 'candidates': [1530207036, 10276807684, 6983068123], 'q_values': [-20.47624969482422, -18.36697006225586, -11.265033721923828, -13.49334716796875, -14.991287231445312, 17.22213363647461, 0.6500524282455444, -0.32127511501312256, 0.5461177825927734], 'masked_q_values': [-1000000000.0, -18.36697006225586, -11.265033721923828, -13.49334716796875, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 1, 1, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 12, 'node': 7290039940, 'goal': 11048144375, 'current_target': 11048144375, 'committed_next': None, 'candidates': [7252948044, 7290039934], 'q_values': [-76.63704681396484, -79.18851470947266, -62.56093978881836, -65.3097915649414, -64.06645965576172, -20.58968162536621, 0.3129763603210449, -0.14386242628097534, -0.19989289343357086], 'masked_q_values': [-1000000000.0, -79.18851470947266, -62.56093978881836, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 1, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 23, 'node': 1526930861, 'goal': 7118760379, 'current_target': 7118760379, 'committed_next': None, 'candidates': [11406520114], 'q_values': [-80.73494720458984, -83.31353759765625, -65.30294036865234, -68.26749420166016, -67.4676284790039, -23.116178512573242, 0.23347412049770355, -0.25931504368782043, -0.14022204279899597], 'masked_q_values': [-1000000000.0, -83.31353759765625, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 24, 'node': 9357318866, 'goal': 7118760379, 'current_target': 7118760379, 'committed_next': None, 'candidates': [], 'q_values': [-110.50897979736328, -112.97969055175781, -97.75946044921875, -101.25315856933594, -100.24557495117188, -46.5838737487793, -0.2749814987182617, -0.14312390983104706, 0.14221934974193573], 'masked_q_values': [-110.50897979736328, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 25, 'node': 7290039934, 'goal': 8580601234, 'current_target': 8580601234, 'committed_next': None, 'candidates': [7290039940], 'q_values': [-79.80713653564453, -80.46526336669922, -61.37060546875, -65.07154083251953, -64.90663146972656, -16.648984909057617, 0.24639980494976044, -0.28314754366874695, 0.07480444014072418], 'masked_q_values': [-1000000000.0, -80.46526336669922, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 27, 'node': 7256764745, 'goal': 8580601234, 'current_target': 8580601234, 'committed_next': None, 'candidates': [7256764744], 'q_values': [-78.29679107666016, -79.59989929199219, -60.80282211303711, -64.21858978271484, -63.623016357421875, -17.13133430480957, 0.25124433636665344, -0.3076396584510803, -7.562339305877686e-05], 'masked_q_values': [-1000000000.0, -79.59989929199219, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 35, 'node': 6489536854, 'goal': 13195940221, 'current_target': 13195940221, 'committed_next': None, 'candidates': [], 'q_values': [-116.20062255859375, -118.63862609863281, -101.56546020507812, -104.5423812866211, -103.63175201416016, -49.74336624145508, -0.31135454773902893, -0.20487290620803833, 0.10067309439182281], 'masked_q_values': [-116.20062255859375, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 37, 'node': 11406520114, 'goal': 13195940221, 'current_target': 13195940221, 'committed_next': None, 'candidates': [5112556790, 1526930861], 'q_values': [-76.32157897949219, -77.71160888671875, -62.792606353759766, -66.78436279296875, -66.10060119628906, -17.671302795410156, 0.21696321666240692, 0.1252967268228531, 0.024192139506340027], 'masked_q_values': [-1000000000.0, -77.71160888671875, -62.792606353759766, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 1, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}]",,
enterprise_blizzard_moderate,20260228,drqn,600,55,40,55.152,1.0,0.7273,55.152,,,0.7,0.6923,0.0077,384805304->1525526326:8;1525526326->1525526335:8;1525526335->1525526361:8;6448823287->3620750336:8;6620771273->6620771284:8;6620771284->6620830787:8;6620830787->6620830789:8;1530225806->1530225862:7;7245480014->10171990457:7;1530225862->12471684056:7,0.3333,3,0.7778,9,,,0.5,2,,,0.8,5,0.0,1,0.8,5,0.6667,3,0.0,1,0.75,4,,,1.0,1,1.0,1,0.8,5,1.0,1,0.75,4,0.8333,6,0.75,4,0.7419,31,0.6923,13,1.0,1,0.7,10,0,False,False,[],,
enterprise_blizzard_moderate,20260229,drqn,600,55,39,119.1156,1.0,0.7091,119.1156,,,0.8182,0.9,-0.0818,1530468772->10557111817:187;10557111817->1530468772:187;10276868726->1530206854:79;1530206854->10276868726:78;1525511891->6575669631:14;6575669631->6575669632:14;6575669632->6575669629:13;11378617113->11378617115:12;11378617115->7245459837:12;7245459837->11206886817:12,0.0,1,0.7143,7,0.0,3,1.0,2,0.5,2,0.0,1,1.0,3,0.7143,7,1.0,1,1.0,3,1.0,2,,,0.5,2,0.0,1,0.7778,9,1.0,1,,,0.8571,7,1.0,1,0.6552,29,0.9,10,0.4,5,0.8182,11,0,False,False,"[{'agent_id': 20, 'node': 1530206854, 'goal': 83561759, 'current_target': 10276868732, 'committed_next': None, 'candidates': [1876250371, 10276868726, 6677697023], 'q_values': [-8.54833984375, -7.255187511444092, -3.062366008758545, -5.313390731811523, -6.472143173217773, 22.12140655517578, 0.9689150452613831, -0.16697105765342712, 0.2847523093223572], 'masked_q_values': [-1000000000.0, -7.255187511444092, -3.062366008758545, -5.313390731811523, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 1, 1, 0, 0, 0, 0, 0], 'density_penalties': {}}]",0.5,2
enterprise_blizzard_moderate,20260230,drqn,600,55,38,124.4007,1.0,0.6909,124.4007,,,0.8,0.8333,-0.0333,7289897523->7289897524:261;7289897524->7289897523:260;5808043273->384765612:224;384765612->5808043273:224;11541129566->83520504:213;83520504->11541129566:184;8613429309->13101111906:119;13101111906->8613429309:118;7157724715->10566490492:69;10566490492->7157724715:67,0.6667,3,0.5714,7,0.0,2,1.0,3,1.0,1,1.0,1,1.0,3,0.6667,6,0.0,1,0.75,4,1.0,2,,,,,0.0,1,0.3333,6,,,0.6667,3,0.9091,11,1.0,1,0.6129,31,0.8333,12,0.5,2,0.8,10,0,False,False,"[{'agent_id': 7, 'node': 83520504, 'goal': 1530414144, 'current_target': 1530414144, 'committed_next': None, 'candidates': [7252947889, 7252948043], 'q_values': [47.02123260498047, 51.00324630737305, 57.6209602355957, 56.76222610473633, 52.32823944091797, 65.24605560302734, 0.8678679466247559, -0.3832172751426697, 0.703209638595581], 'masked_q_values': [-1000000000.0, 51.00324630737305, 57.6209602355957, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 1, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 16, 'node': 11552825228, 'goal': 1400544703, 'current_target': 1400544703, 'committed_next': None, 'candidates': [], 'q_values': [-106.29498291015625, -107.88238525390625, -84.90626525878906, -87.72978210449219, -88.57463836669922, -38.92894744873047, -0.09464967250823975, -0.46277469396591187, 0.20418761670589447], 'masked_q_values': [-106.29498291015625, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 31, 'node': 7289897524, 'goal': 10125220313, 'current_target': 10125220313, 'committed_next': None, 'candidates': [7289897523], 'q_values': [-79.98089599609375, -81.53706359863281, -62.23666763305664, -65.55306243896484, -64.76021575927734, -18.066736221313477, 0.26487138867378235, -0.313678503036499, -0.0332886278629303], 'masked_q_values': [-1000000000.0, -81.53706359863281, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 35, 'node': 9068696322, 'goal': 1400544703, 'current_target': 1400544703, 'committed_next': None, 'candidates': [], 'q_values': [-100.15645599365234, -100.74952697753906, -79.19389343261719, -82.47895050048828, -83.56587982177734, -33.47492980957031, -0.08293350040912628, -0.3789713680744171, 0.33635711669921875], 'masked_q_values': [-100.15645599365234, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}]",,
enterprise_blizzard_moderate,20260231,drqn,600,55,42,100.0019,1.0,0.7636,100.0019,,,0.6923,1.0,-0.3077,4937846509->441038043:246;441038043->4937846509:245;441038043->10554874837:18;10554874837->441038043:17;4937846505->4937846509:14;4937846509->4937846505:13;10566580568->10566580567:11;10566580567->13276899743:11;13276899743->6677331627:11;1400544682->5691979269:11,0.0,1,0.75,8,1.0,1,,,1.0,1,0.5,4,0.6667,6,0.6667,6,1.0,3,,,1.0,3,1.0,1,,,0.5,2,0.625,8,1.0,2,1.0,1,1.0,6,1.0,1,0.7419,31,1.0,6,0.8,5,0.6923,13,0,False,False,"[{'agent_id': 21, 'node': 10554874837, 'goal': 1638160534, 'current_target': 4937846511, 'committed_next': None, 'candidates': [441038043], 'q_values': [47.30872344970703, 50.75318908691406, 59.40221405029297, 57.97244644165039, 52.502197265625, 63.07295227050781, 0.692539393901825, -0.518419623374939, 0.5791257619857788], 'masked_q_values': [-1000000000.0, 50.75318908691406, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}]",1.0,1
enterprise_blizzard_moderate,20260232,drqn,600,55,37,131.6823,1.0,0.6727,131.6823,,,0.7273,0.8,-0.0727,6296645348->6296645343:170;6296645343->6296645348:170;10554874836->10554874825:164;10554874825->10554874836:164;6615501609->6615501608:159;6615501608->6615501609:158;10554874852->10554874826:134;10554874826->10554874852:134;10557315345->10557315371:112;10557315371->10557315345:111,1.0,1,0.5833,12,0.6667,3,,,1.0,1,0.6667,3,0.6667,3,0.8333,6,0.75,4,,,0.5,2,0.0,1,,,0.0,1,0.625,8,1.0,2,1.0,1,0.8,5,0.5,2,0.6667,36,0.8,5,0.3333,3,0.7273,11,0,False,False,"[{'agent_id': 1, 'node': 6615501606, 'goal': 7157724647, 'current_target': 7157724647, 'committed_next': None, 'candidates': [83583408, 6615501605], 'q_values': [-42.133113861083984, -42.64406967163086, -30.631271362304688, -31.848928451538086, -32.41815948486328, -0.6260418891906738, 0.7027559280395508, -0.21054403483867645, 0.27507346868515015], 'masked_q_values': [-1000000000.0, -42.64406967163086, -30.631271362304688, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 1, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 6, 'node': 8119358122, 'goal': 10171993299, 'current_target': 10171993299, 'committed_next': None, 'candidates': [8119358124, 1832540316, 1677626277, 7070231415], 'q_values': [-28.8836612701416, -28.030624389648438, -20.527559280395508, -21.94696044921875, -22.899513244628906, 9.716215133666992, 0.8148525357246399, -0.33091142773628235, 0.18569780886173248], 'masked_q_values': [-1000000000.0, -28.030624389648438, -20.527559280395508, -21.94696044921875, -22.899513244628906, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 1, 1, 1, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 11, 'node': 10554874836, 'goal': 7157724647, 'current_target': 7157724647, 'committed_next': None, 'candidates': [10554874825], 'q_values': [-71.94019317626953, -72.95454406738281, -59.57444381713867, -63.096683502197266, -62.48320007324219, -15.479558944702148, 0.26367437839508057, -0.09547240287065506, 0.08985859155654907], 'masked_q_values': [-1000000000.0, -72.95454406738281, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 38, 'node': 12238573255, 'goal': 7157724647, 'current_target': 7157724647, 'committed_next': None, 'candidates': [6296645348, 12238573260, 6296645355], 'q_values': [-39.84625244140625, -39.942386627197266, -27.48197364807129, -30.37347984313965, -31.417396545410156, 2.6529555320739746, 0.48720234632492065, -0.27387651801109314, 0.3366236686706543], 'masked_q_values': [-1000000000.0, -39.942386627197266, -27.48197364807129, -30.37347984313965, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 1, 1, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 39, 'node': 4498840832, 'goal': 7157724647, 'current_target': 7157724647, 'committed_next': None, 'candidates': [10557315369, 4498840816, 9377505133], 'q_values': [-34.02043533325195, -32.83092498779297, -23.078590393066406, -25.558691024780273, -26.71623992919922, 6.449852466583252, 0.5269292593002319, -0.3081861734390259, 0.45973289012908936], 'masked_q_values': [-1000000000.0, -32.83092498779297, -23.078590393066406, -25.558691024780273, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 1, 1, 0, 0, 0, 0, 0], 'density_penalties': {}}]",,
enterprise_blizzard_moderate,20260233,drqn,600,55,41,14.16,1.0,0.7455,14.16,,,0.5,1.0,-0.5,1519090097->1525526373:13;1525526373->1519090049:13;1530466308->1400583683:10;1400583683->10554874821:10;10554874821->1530466290:10;1530466290->10554874840:10;10554874840->10554874837:10;10554874837->4937846511:10;4937846511->1400583676:10;1525461644->11181295893:9,0.0,1,0.5333,15,0.0,1,,,0.6667,3,1.0,5,1.0,3,0.2,5,1.0,1,1.0,2,1.0,3,1.0,3,,,,,1.0,4,1.0,1,1.0,3,1.0,5,,,0.7188,32,1.0,9,0.8333,6,0.5,8,0,False,False,[],,
enterprise_blizzard_moderate,20260234,drqn,600,55,41,98.3469,1.0,0.7455,98.3469,,,0.8889,0.8125,0.0764,12099973263->7255587424:179;7255587424->12099973263:179;12099975238->12099975235:118;12099975235->12099975238:117;1525435911->1525435915:9;10550594431->10550594437:7;10550594437->10550594435:7;10550594435->10550594420:7;10550594420->10550594470:7;10550594470->6620771272:7,0.5,2,0.5714,7,0.5,2,1.0,3,1.0,2,0.0,1,1.0,2,1.0,5,,,,,0.6,5,,,0.5,2,1.0,1,0.5556,9,1.0,4,1.0,2,1.0,6,0.5,2,0.6296,27,0.8125,16,1.0,3,0.8889,9,0,False,False,"[{'agent_id': 5, 'node': 1400544684, 'goal': 389015305, 'current_target': 389015305, 'committed_next': None, 'candidates': [], 'q_values': [-123.30406188964844, -128.06410217285156, -115.10489654541016, -118.3802719116211, -114.53820037841797, -57.394622802734375, -0.3401998281478882, -0.010192632675170898, -0.3126618266105652], 'masked_q_values': [-123.30406188964844, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 7, 'node': 12099975235, 'goal': 389015305, 'current_target': 389015305, 'committed_next': None, 'candidates': [12099975238], 'q_values': [-103.78462982177734, -107.14435577392578, -93.42324829101562, -97.13250732421875, -95.11248016357422, -51.069557189941406, 0.04924565181136131, -0.6171026229858398, -0.22587676346302032], 'masked_q_values': [-1000000000.0, -107.14435577392578, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}]",,
enterprise_blizzard_moderate,20260235,drqn,600,55,42,13.8663,1.0,0.7636,13.8663,,,0.7273,0.9091,-0.1818,1530225806->10221745747:15;10221745747->10221745754:15;10221745754->10221745750:15;10221745750->10220116642:15;10220116642->10220116630:15;10220116630->10220116631:15;10220116632->10220116650:15;10220116631->10220116632:11;1530225519->1530225535:10;1530225535->1519095166:10,0.25,4,0.8,10,,,1.0,1,,,0.6,5,0.75,4,0.7143,7,1.0,3,1.0,2,0.75,4,1.0,1,1.0,1,,,0.8,5,,,1.0,3,1.0,4,,,0.7419,31,0.9091,11,0.5,2,0.7273,11,0,False,False,[],0.0,1
enterprise_blizzard_moderate,20260236,drqn,600,55,43,99.9652,1.0,0.7818,99.9652,,,1.0,0.8824,0.1176,10213549222->10213549220:277;10213549220->10213549222:277;10554949206->10554949205:190;10554949205->10554949206:190;10274251470->10274251476:73;10274251476->10274251470:73;1530225767->83716675:14;6620807158->9509032713:13;1832170440->10200387289:12;9509032713->6620807158:12,1.0,1,1.0,7,1.0,1,0.8,5,1.0,1,0.6,5,1.0,2,1.0,1,1.0,3,1.0,1,0.8571,7,,,1.0,1,1.0,1,0.25,8,1.0,2,1.0,1,0.75,8,,,0.697,33,0.8824,17,1.0,2,1.0,3,0,False,False,"[{'agent_id': 1, 'node': 10274251470, 'goal': 12372272604, 'current_target': 12372272604, 'committed_next': None, 'candidates': [10274251476], 'q_values': [41.50562286376953, 46.0684928894043, 51.59280014038086, 49.5448112487793, 45.62127685546875, 63.30510711669922, 0.7790388464927673, -0.29142412543296814, 0.6573927998542786], 'masked_q_values': [-1000000000.0, 46.0684928894043, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 35, 'node': 10213549222, 'goal': 12372272604, 'current_target': 6983068110, 'committed_next': None, 'candidates': [6983068110, 10213549220, 6983068125], 'q_values': [65.28407287597656, 67.56547546386719, 73.32585906982422, 72.59576416015625, 66.52904510498047, 72.93482971191406, 0.8866400122642517, -0.5230666995048523, 0.40461206436157227], 'masked_q_values': [-1000000000.0, 67.56547546386719, 73.32585906982422, 72.59576416015625, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [0, 1, 1, 1, 0, 0, 0, 0, 0], 'density_penalties': {}}]",,
