episode,return,steps,reached,avg_loss,eps,moving_avg_return,moving_avg_reached_rate,buffer_size
1,-1437.5440,442,0,0.000000,0.6000,-1437.5440,0.0000,442
2,-2699.5715,400,0,0.000000,0.5982,-2068.5578,0.0000,842
3,-584.8561,400,0,3.392103,0.5964,-1573.9905,0.0000,1242
4,74.8251,221,1,2.286437,0.5946,-1161.7866,0.2500,1463
5,379.8041,35,1,1.947292,0.5928,-853.4685,0.4000,1498
6,316.6137,95,1,2.588996,0.5911,-658.4548,0.5000,1593
7,333.3445,119,1,2.548329,0.5893,-516.7692,0.5714,1712
8,228.2154,86,1,2.434019,0.5875,-423.6461,0.6250,1798
9,353.4265,50,1,2.475807,0.5858,-337.3047,0.6667,1848
10,244.3886,13,1,2.394680,0.5840,-279.1354,0.7000,1861
11,310.6203,130,1,3.973876,0.5822,-225.5212,0.7273,1991
12,233.7248,25,1,3.843943,0.5805,-187.2507,0.7500,2016
13,279.4997,85,1,3.812574,0.5788,-151.3468,0.7692,2101
14,279.0366,51,1,3.612815,0.5770,-120.6052,0.7857,2152
15,318.6003,38,1,3.648562,0.5753,-91.3248,0.8000,2190
16,312.0915,49,1,3.700740,0.5736,-66.1113,0.8125,2239
17,287.1508,45,1,3.690325,0.5718,-45.3311,0.8235,2284
18,377.6638,51,1,3.539509,0.5701,-21.8314,0.8333,2335
19,217.8204,119,1,3.731715,0.5684,-9.2182,0.8421,2454
20,218.9485,3,1,3.530632,0.5667,2.1902,0.8500,2457
21,321.8815,139,1,3.608806,0.5650,90.1614,0.9000,2596
22,324.2430,86,1,3.499323,0.5633,241.3522,0.9500,2682
23,346.2678,85,1,3.484636,0.5616,287.9084,1.0000,2767
24,398.0268,93,1,3.523812,0.5599,304.0684,1.0000,2860
25,409.8755,183,1,3.436197,0.5583,305.5720,1.0000,3043
26,286.2952,95,1,3.257662,0.5566,304.0561,1.0000,3138
27,275.1759,17,1,3.663680,0.5549,301.1476,1.0000,3155
28,337.2625,79,1,3.354027,0.5532,306.6000,1.0000,3234
29,264.0266,65,1,3.355318,0.5516,302.1300,1.0000,3299
30,350.2106,44,1,3.378448,0.5499,307.4211,1.0000,3343
31,258.5418,31,1,3.327454,0.5483,304.8172,1.0000,3374
32,288.7955,82,1,3.374234,0.5466,307.5707,1.0000,3456
33,258.1611,20,1,3.212787,0.5450,306.5038,1.0000,3476
34,254.9017,35,1,3.385105,0.5434,305.2970,1.0000,3511
35,238.9796,49,1,3.330026,0.5417,301.3160,1.0000,3560
36,326.9984,67,1,3.435327,0.5401,302.0613,1.0000,3627
37,363.2396,85,1,3.292539,0.5385,305.8658,1.0000,3712
38,221.5584,1,1,3.110387,0.5369,298.0605,1.0000,3713
39,322.1024,62,1,3.590960,0.5353,303.2746,1.0000,3775
40,287.6244,36,1,3.366985,0.5337,306.7084,1.0000,3811
41,245.7473,46,1,3.357714,0.5321,302.9017,1.0000,3857
42,304.4787,118,1,3.267630,0.5305,301.9135,1.0000,3975
43,387.0861,99,1,3.220435,0.5289,303.9544,1.0000,4074
44,288.8363,16,1,3.564622,0.5273,298.4949,1.0000,4090
45,374.7397,64,1,3.258204,0.5257,296.7381,1.0000,4154
46,292.4732,45,1,3.329672,0.5241,297.0470,1.0000,4199
47,416.0388,86,1,3.301797,0.5226,304.0901,1.0000,4285
48,343.5073,48,1,3.169128,0.5210,304.4024,1.0000,4333
49,270.3589,23,1,3.192098,0.5194,304.7190,1.0000,4356
50,341.7900,66,1,3.330461,0.5179,304.2980,1.0000,4422
51,344.4265,28,1,3.300904,0.5163,308.5922,1.0000,4450
52,334.3260,48,1,3.528916,0.5148,310.8687,1.0000,4498
53,494.4686,124,1,3.552567,0.5132,322.6841,1.0000,4622
54,368.3569,31,1,3.447344,0.5117,328.3569,1.0000,4653
55,268.1367,18,1,3.499893,0.5101,329.8147,1.0000,4671
56,370.4715,42,1,3.611754,0.5086,331.9884,1.0000,4713
57,458.6082,127,1,3.579761,0.5071,336.7568,1.0000,4840
58,398.7728,75,1,3.530106,0.5056,345.6175,1.0000,4915
59,375.6948,81,1,3.491501,0.5040,348.2971,1.0000,4996
60,387.4840,114,1,3.623587,0.5025,353.2901,1.0000,5110
61,413.7555,70,1,3.592652,0.5010,361.6905,1.0000,5180
62,361.0121,64,1,3.568208,0.4995,364.5172,1.0000,5244
63,401.5138,59,1,3.597644,0.4980,365.2386,1.0000,5303
64,381.4735,64,1,3.647857,0.4965,369.8704,1.0000,5367
65,436.0662,85,1,3.645216,0.4950,372.9368,1.0000,5452
66,483.3652,126,1,3.538884,0.4936,382.4814,1.0000,5578
67,266.4743,18,1,3.396192,0.4921,375.0031,1.0000,5596
68,406.9833,57,1,3.721406,0.4906,378.1769,1.0000,5653
69,406.7144,41,1,3.715538,0.4891,384.9947,1.0000,5694
70,360.7614,105,1,3.732172,0.4877,385.9433,1.0000,5799
71,406.1093,73,1,3.650588,0.4862,389.0274,1.0000,5872
72,420.1742,65,1,3.720509,0.4847,393.3198,1.0000,5937
73,401.2179,100,1,3.669222,0.4833,388.6573,1.0000,6037
74,301.9802,36,1,3.715362,0.4818,385.3385,1.0000,6073
75,254.2691,44,1,3.704157,0.4804,384.6451,1.0000,6117
76,276.5576,24,1,3.806793,0.4789,379.9494,1.0000,6141
77,219.7143,6,1,3.501883,0.4775,368.0047,1.0000,6147
78,332.7526,68,1,3.713003,0.4761,364.7037,1.0000,6215
79,578.4782,169,1,3.832060,0.4747,374.8429,1.0000,6384
80,398.0372,66,1,3.734653,0.4732,375.3705,1.0000,6450
81,355.6082,56,1,3.711418,0.4718,372.4632,1.0000,6506
82,335.7239,36,1,3.656767,0.4704,371.1987,1.0000,6542
83,405.6596,62,1,3.583390,0.4690,371.4060,1.0000,6604
84,339.3809,78,1,3.676906,0.4676,369.3014,1.0000,6682
85,317.3679,63,1,3.686492,0.4662,363.3665,1.0000,6745
86,519.5198,96,1,3.611653,0.4648,365.1742,1.0000,6841
87,348.5171,66,1,4.052481,0.4634,369.2764,1.0000,6907
88,328.9199,50,1,3.736799,0.4620,365.3732,1.0000,6957
89,727.1929,144,1,3.845862,0.4606,381.3971,1.0000,7101
90,385.8857,70,1,3.704460,0.4592,382.6533,1.0000,7171
91,366.3237,96,1,3.802909,0.4578,380.6641,1.0000,7267
92,341.1447,72,1,3.755913,0.4565,376.7126,1.0000,7339
93,533.9071,137,1,3.817909,0.4551,383.3470,1.0000,7476
94,304.5473,20,1,4.014832,0.4537,383.4754,1.0000,7496
95,380.5458,43,1,4.091871,0.4524,389.7892,1.0000,7539
96,276.9632,34,1,4.243122,0.4510,389.8095,1.0000,7573
97,293.1153,21,1,3.903282,0.4497,393.4796,1.0000,7594
98,350.5231,77,1,3.804378,0.4483,394.3681,1.0000,7671
99,417.8870,76,1,3.876979,0.4470,386.3385,1.0000,7747
100,381.4042,73,1,4.009836,0.4456,385.5069,1.0000,7820
101,309.7670,49,1,3.893301,0.4443,383.2148,1.0000,7869
102,438.1655,82,1,3.970306,0.4430,388.3369,1.0000,7951
103,465.9619,82,1,3.966465,0.4416,391.3520,1.0000,8033
104,239.7877,16,1,4.020419,0.4403,386.3723,1.0000,8049
105,325.2696,83,1,4.128369,0.4390,386.7674,1.0000,8132
106,578.5826,70,1,4.135163,0.4377,389.7206,1.0000,8202
107,475.5468,64,1,4.089003,0.4364,396.0720,1.0000,8266
108,243.7784,15,1,4.199065,0.4350,391.8150,1.0000,8281
109,221.6131,5,1,3.663110,0.4337,366.5360,1.0000,8286
110,378.4376,57,1,4.234954,0.4324,366.1636,1.0000,8343
111,283.7756,41,1,4.158444,0.4311,362.0362,1.0000,8384
112,454.2634,89,1,4.091257,0.4298,367.6921,1.0000,8473
113,270.7329,15,1,4.239739,0.4286,354.5334,1.0000,8488
