episode,return,steps,reached,avg_loss,eps,moving_avg_return,moving_avg_reached_rate,buffer_size
1,297.0064,24,1,0.000000,0.4000,297.0064,1.0000,24
2,446.4812,56,1,0.000000,0.3988,371.7438,1.0000,80
3,506.4865,79,1,0.000000,0.3976,416.6580,1.0000,159
4,241.9491,28,1,0.000000,0.3964,372.9808,1.0000,187
5,367.2608,34,1,0.000000,0.3952,371.8368,1.0000,221
6,223.4226,7,1,0.000000,0.3940,347.1011,1.0000,228
7,283.3367,59,1,0.000000,0.3929,337.9919,1.0000,287
8,317.3002,70,1,0.000000,0.3917,335.4054,1.0000,357
9,273.5871,19,1,0.000000,0.3905,328.5367,1.0000,376
10,289.0010,16,1,0.000000,0.3893,324.5832,1.0000,392
11,301.5553,29,1,0.000000,0.3882,322.4897,1.0000,421
12,323.4677,48,1,0.000000,0.3870,322.5712,1.0000,469
13,528.4020,82,1,0.000000,0.3858,338.4044,1.0000,551
14,372.6363,68,1,5.439698,0.3847,340.8495,1.0000,619
15,318.8360,74,1,5.106397,0.3835,339.3819,1.0000,693
16,445.3472,84,1,5.002520,0.3824,346.0048,1.0000,777
17,336.8784,32,1,5.101390,0.3812,345.4679,1.0000,809
18,308.9309,28,1,5.201701,0.3801,343.4381,1.0000,837
19,246.1555,9,1,4.802295,0.3789,338.3179,1.0000,846
20,274.6028,22,1,5.269368,0.3778,335.1322,1.0000,868
21,353.8099,40,1,5.178226,0.3767,337.9724,1.0000,908
22,381.2837,35,1,5.169520,0.3755,334.7125,1.0000,943
23,330.9917,26,1,5.274364,0.3744,325.9378,1.0000,969
24,340.1878,64,1,5.447325,0.3733,330.8497,1.0000,1033
25,362.3388,49,1,5.314917,0.3722,330.6036,1.0000,1082
26,268.8582,28,1,5.129451,0.3711,332.8754,1.0000,1110
27,337.3106,37,1,5.036285,0.3699,335.5741,1.0000,1147
28,372.8521,55,1,5.309416,0.3688,338.3517,1.0000,1202
29,269.8049,19,1,5.295565,0.3677,338.1625,1.0000,1221
30,437.6627,68,1,5.087532,0.3666,345.5956,1.0000,1289
31,370.2543,42,1,5.163049,0.3655,349.0306,1.0000,1331
32,292.8969,13,1,5.400748,0.3644,347.5020,1.0000,1344
33,362.9230,61,1,5.528033,0.3633,339.2281,1.0000,1405
34,376.1689,33,1,5.279626,0.3622,339.4047,1.0000,1438
35,452.7597,79,1,5.349875,0.3612,346.1009,1.0000,1517
36,382.4240,41,1,5.467537,0.3601,342.9547,1.0000,1558
37,441.4633,69,1,5.495197,0.3590,348.1840,1.0000,1627
38,388.0358,35,1,5.528199,0.3579,352.1392,1.0000,1662
39,444.0180,71,1,5.473738,0.3568,362.0324,1.0000,1733
40,317.9521,30,1,5.416679,0.3558,364.1998,1.0000,1763
41,356.7597,60,1,5.562955,0.3547,364.3473,1.0000,1823
42,314.6362,44,1,5.136355,0.3536,361.0149,1.0000,1867
43,219.8777,1,1,4.371226,0.3526,355.4592,1.0000,1868
44,312.5373,34,1,5.470878,0.3515,354.0767,1.0000,1902
45,299.2573,18,1,5.612996,0.3505,350.9226,1.0000,1920
46,299.6183,30,1,5.384855,0.3494,352.4607,1.0000,1950
47,320.0039,35,1,5.279342,0.3484,351.5953,1.0000,1985
48,399.5097,35,1,5.272614,0.3473,352.9282,1.0000,2020
49,389.4510,36,1,5.494243,0.3463,358.9105,1.0000,2056
50,243.6653,10,1,5.532339,0.3452,349.2106,1.0000,2066
51,478.6039,57,1,5.533491,0.3442,354.6281,1.0000,2123
52,385.2515,50,1,5.472168,0.3432,359.2458,1.0000,2173
53,254.7692,10,1,5.613034,0.3421,353.8382,1.0000,2183
54,342.6890,25,1,5.256367,0.3411,352.1642,1.0000,2208
55,363.1568,51,1,5.664097,0.3401,347.6840,1.0000,2259
56,376.3390,61,1,5.433008,0.3391,347.3798,1.0000,2320
57,487.3859,59,1,5.532079,0.3381,349.6759,1.0000,2379
58,225.3020,6,1,5.139347,0.3370,341.5392,1.0000,2385
59,227.9659,5,1,5.161299,0.3360,330.7366,1.0000,2390
60,246.6088,14,1,5.581569,0.3350,327.1694,1.0000,2404
61,281.8582,19,1,5.595077,0.3340,323.4244,1.0000,2423
62,287.9200,27,1,5.590773,0.3330,322.0885,1.0000,2450
63,278.9757,17,1,5.466886,0.3320,325.0434,1.0000,2467
64,248.4931,14,1,5.532646,0.3310,321.8412,1.0000,2481
65,431.6913,59,1,5.619214,0.3300,328.4629,1.0000,2540
66,428.1478,60,1,5.721751,0.3290,334.8894,1.0000,2600
67,295.2382,21,1,5.410824,0.3281,333.6511,1.0000,2621
68,427.0121,47,1,5.795614,0.3271,335.0262,1.0000,2668
69,286.0951,19,1,5.942193,0.3261,329.8584,1.0000,2687
70,369.6885,71,1,5.708179,0.3251,336.1596,1.0000,2758
71,348.6025,42,1,5.859570,0.3241,329.6595,1.0000,2800
