episode,return,steps,reached,avg_loss,eps
1,42.0537,50,1,98.421626,1.0000
2,-59.3758,50,0,0.300021,0.9900
3,-63.3014,50,0,0.205720,0.9801
4,-59.3367,50,0,0.239731,0.9703
5,-61.4659,50,0,0.358293,0.9606
6,-57.7728,50,0,0.494887,0.9510
7,-65.4987,50,0,0.656586,0.9415
8,51.2274,38,1,139.756588,0.9321
9,83.1440,13,1,385.853607,0.9227
10,-58.5074,50,0,0.236949,0.9135
11,88.5534,11,1,442.362363,0.9044
12,45.5565,41,1,119.227132,0.8953
13,-64.1456,50,0,4.276814,0.8864
14,-56.3409,50,0,0.516162,0.8775
15,-64.8817,50,0,0.556632,0.8687
16,-58.7062,50,0,0.875264,0.8601
17,89.6814,9,1,544.646221,0.8515
18,-57.8134,50,0,18.229303,0.8429
19,-59.3785,50,0,0.572770,0.8345
20,-57.6603,50,0,0.456589,0.8262
