episode,return,steps,reached,avg_loss,eps,moving_avg_return,moving_avg_reached_rate,buffer_size
1,-561.1039,400,0,0.000000,0.3000,-561.1039,0.0000,400
2,440.8423,63,1,0.000000,0.2997,-60.1308,0.5000,463
3,424.4890,36,1,0.000000,0.2994,101.4091,0.6667,499
4,335.2362,24,1,0.000000,0.2991,159.8659,0.7500,523
5,341.1016,31,1,5.145017,0.2988,196.1130,0.8000,554
6,358.9418,25,1,4.943077,0.2985,223.2512,0.8333,579
7,500.1078,73,1,5.318362,0.2982,262.8021,0.8571,652
8,335.2106,19,1,5.327092,0.2979,271.8532,0.8750,671
9,279.3163,14,1,5.633689,0.2976,272.6824,0.8889,685
10,346.9141,26,1,6.413047,0.2973,280.1056,0.9000,711
11,276.4504,14,1,6.451219,0.2970,279.7733,0.9091,725
12,403.6723,57,1,6.582743,0.2967,290.0982,0.9167,782
13,249.0129,8,1,6.542528,0.2964,286.9378,0.9231,790
14,300.8584,20,1,6.179085,0.2961,287.9321,0.9286,810
15,286.5178,12,1,6.217508,0.2958,287.8378,0.9333,822
16,445.9265,50,1,6.981537,0.2955,297.7184,0.9375,872
17,440.3996,55,1,6.972382,0.2952,306.1114,0.9412,927
18,222.1620,2,1,6.477933,0.2949,301.4475,0.9444,929
19,335.8120,21,1,6.718894,0.2946,303.2562,0.9474,950
20,339.5201,25,1,6.785225,0.2944,305.0694,0.9500,975
21,255.2644,13,1,7.018331,0.2941,345.8878,1.0000,988
22,278.8127,14,1,7.078492,0.2938,337.7863,1.0000,1002
23,262.1207,25,1,7.315579,0.2935,329.6679,1.0000,1027
24,382.8594,31,1,7.309481,0.2932,332.0491,1.0000,1058
25,264.0026,27,1,7.350031,0.2929,328.1941,1.0000,1085
26,284.3381,13,1,7.105802,0.2926,324.4639,1.0000,1098
27,346.0673,37,1,7.347026,0.2923,316.7619,1.0000,1135
28,457.8301,58,1,7.139116,0.2920,322.8929,1.0000,1193
29,317.0144,17,1,6.930206,0.2917,324.7778,1.0000,1210
30,515.1294,77,1,7.021964,0.2914,333.1886,1.0000,1287
31,358.0382,27,1,6.726830,0.2911,337.2680,1.0000,1314
32,305.2171,29,1,6.710142,0.2908,332.3452,1.0000,1343
33,403.0491,35,1,6.536741,0.2905,340.0470,1.0000,1378
34,372.4457,41,1,6.510809,0.2903,343.6264,1.0000,1419
35,349.8361,37,1,6.333767,0.2900,346.7923,1.0000,1456
36,268.4547,21,1,6.598259,0.2897,337.9187,1.0000,1477
37,488.8763,72,1,6.247606,0.2894,340.3425,1.0000,1549
38,267.0334,28,1,6.264564,0.2891,342.5861,1.0000,1577
39,247.3862,7,1,6.256045,0.2888,338.1648,1.0000,1584
40,688.7938,104,1,6.345751,0.2885,355.6285,1.0000,1688
41,409.6111,101,1,6.269393,0.2882,363.3458,1.0000,1789
42,546.2638,86,1,6.243442,0.2879,376.7184,1.0000,1875
43,348.4850,31,1,6.264854,0.2877,381.0366,1.0000,1906
44,432.1081,42,1,6.266056,0.2874,383.4990,1.0000,1948
45,222.2297,3,1,6.390977,0.2871,381.4104,1.0000,1951
46,305.3180,11,1,6.118044,0.2868,382.4594,1.0000,1962
47,374.3512,55,1,6.219174,0.2865,383.8736,1.0000,2017
48,267.9245,19,1,6.271547,0.2862,374.3783,1.0000,2036
49,292.3753,25,1,5.903134,0.2859,373.1463,1.0000,2061
50,446.0212,80,1,6.148971,0.2856,369.6909,1.0000,2141
51,370.1780,33,1,5.880667,0.2854,370.2979,1.0000,2174
52,528.8996,55,1,5.978886,0.2851,381.4820,1.0000,2229
53,296.4522,18,1,6.229974,0.2848,376.1522,1.0000,2247
54,260.1253,9,1,6.251171,0.2845,370.5362,1.0000,2256
55,390.6008,34,1,6.052485,0.2842,372.5744,1.0000,2290
56,412.8772,76,1,6.044169,0.2839,379.7955,1.0000,2366
57,250.5720,5,1,6.163824,0.2837,367.8803,1.0000,2371
58,334.6302,26,1,6.078178,0.2834,371.2602,1.0000,2397
59,219.7361,1,1,5.338336,0.2831,369.8777,1.0000,2398
60,333.2362,26,1,6.214776,0.2828,352.0998,1.0000,2424
61,349.9569,41,1,6.224539,0.2825,349.1171,1.0000,2465
62,220.1447,1,1,5.629821,0.2822,332.8111,1.0000,2466
63,-644.2391,400,0,6.095788,0.2820,283.1749,0.9500,2866
64,332.2437,17,1,5.910218,0.2817,278.1817,0.9500,2883
65,348.8234,44,1,5.911323,0.2814,284.5114,0.9500,2927
66,388.7011,58,1,5.807501,0.2811,288.6805,0.9500,2985
67,373.7504,30,1,5.888594,0.2808,288.6505,0.9500,3015
68,290.3404,29,1,5.839984,0.2805,289.7713,0.9500,3044
69,230.2007,4,1,6.036209,0.2803,286.6625,0.9500,3048
70,250.8258,6,1,5.902258,0.2800,276.9028,0.9500,3054
71,358.0069,33,1,6.157572,0.2797,276.2942,0.9500,3087
72,295.9889,18,1,5.904163,0.2794,264.6487,0.9500,3105
73,406.4775,50,1,6.144505,0.2791,270.1499,0.9500,3155
74,361.6157,27,1,6.073976,0.2789,275.2245,0.9500,3182
75,343.0380,30,1,5.861019,0.2786,272.8463,0.9500,3212
76,400.4892,37,1,6.031903,0.2783,272.2269,0.9500,3249
77,334.7573,28,1,6.182671,0.2780,276.4362,0.9500,3277
78,422.4175,47,1,6.042181,0.2778,280.8256,0.9500,3324
79,324.8582,16,1,6.304571,0.2775,286.0817,0.9500,3340
80,377.5825,32,1,6.217785,0.2772,288.2990,0.9500,3372
81,350.6999,35,1,6.252876,0.2769,288.3361,0.9500,3407
82,293.9926,16,1,6.218343,0.2766,292.0285,0.9500,3423
83,309.3210,18,1,6.368032,0.2764,339.7065,1.0000,3441
84,335.7809,40,1,6.227900,0.2761,339.8834,1.0000,3481
85,241.9830,12,1,6.002169,0.2758,334.5414,1.0000,3493
86,336.0376,42,1,6.233130,0.2755,331.9082,1.0000,3535
87,303.8926,17,1,6.194055,0.2753,328.4153,1.0000,3552
88,267.5376,27,1,6.093684,0.2750,327.2752,1.0000,3579
89,339.3293,28,1,6.075579,0.2747,332.7316,1.0000,3607
90,278.5124,11,1,6.342419,0.2744,334.1159,1.0000,3618
91,270.6522,17,1,6.222405,0.2742,329.7482,1.0000,3635
92,301.3590,27,1,6.230188,0.2739,330.0167,1.0000,3662
93,267.1490,21,1,6.380322,0.2736,323.0503,1.0000,3683
94,321.9893,29,1,6.212409,0.2733,321.0690,1.0000,3712
95,292.9725,19,1,6.357869,0.2731,318.5657,1.0000,3731
96,-1161.0984,575,0,6.417823,0.2728,240.4863,0.9500,4306
97,413.9121,34,1,6.279765,0.2725,244.4440,0.9500,4340
98,252.4431,6,1,6.296179,0.2723,235.9453,0.9500,4346
99,357.2123,32,1,6.024405,0.2720,237.5630,0.9500,4378
100,256.8678,10,1,6.282758,0.2717,231.5273,0.9500,4388
101,484.8367,57,1,6.265662,0.2714,238.2341,0.9500,4445
102,277.6343,20,1,6.005307,0.2712,237.4162,0.9500,4465
103,519.0979,57,1,6.149134,0.2709,247.9051,0.9500,4522
104,369.6990,23,1,6.020456,0.2706,249.6010,0.9500,4545
105,224.2189,4,1,6.217574,0.2704,248.7128,0.9500,4549
106,276.7885,14,1,6.278215,0.2701,245.7503,0.9500,4563
107,219.0801,4,1,5.931590,0.2698,241.5097,0.9500,4567
108,473.3952,50,1,6.269187,0.2695,251.8026,0.9500,4617
109,246.3137,9,1,6.234463,0.2693,247.1518,0.9500,4626
110,-1720.3660,599,0,6.161655,0.2690,147.2079,0.9000,5225
111,476.6127,85,1,6.040606,0.2687,157.5059,0.9000,5310
112,373.5030,26,1,6.231170,0.2685,161.1131,0.9000,5336
113,511.2160,88,1,6.098373,0.2682,173.3164,0.9000,5424
114,845.5603,130,1,6.071623,0.2679,199.4950,0.9000,5554
115,299.6152,25,1,6.136811,0.2677,199.8271,0.9000,5579
116,300.1202,17,1,6.145234,0.2674,272.8881,0.9500,5596
117,319.2400,21,1,6.138213,0.2671,268.1544,0.9500,5617
118,534.7408,66,1,6.068279,0.2669,282.2693,0.9500,5683
119,251.0685,12,1,5.954769,0.2666,276.9621,0.9500,5695
120,277.0287,17,1,6.347040,0.2663,277.9702,0.9500,5712
121,453.6497,56,1,6.214846,0.2661,276.4108,0.9500,5768
