episode,return,steps,reached,avg_loss,eps,moving_avg_return,buffer_size
1,-45.2174,40,0,0.000000,1.0000,-45.2174,40
2,-45.3434,40,0,0.000000,0.9950,-45.2804,80
3,-51.7136,40,0,0.000000,0.9900,-47.4248,120
4,-47.2004,40,0,0.000000,0.9851,-47.3687,160
5,87.3751,11,1,0.000000,0.9801,-20.4199,171
6,-48.5861,40,0,0.000000,0.9752,-25.1143,211
7,87.5194,12,1,0.000000,0.9704,-9.0238,223
8,-50.7069,40,0,0.000000,0.9655,-14.2342,263
9,-50.3093,40,0,1.246887,0.9607,-18.2425,303
10,64.1060,32,1,1.552773,0.9559,-10.0077,335
11,-52.5268,40,0,1.201168,0.9511,-13.8730,375
12,86.3533,12,1,0.971003,0.9464,-5.5209,387
13,-53.9076,40,0,1.046654,0.9416,-9.2429,427
14,-52.5020,40,0,1.199512,0.9369,-12.3328,467
15,98.9943,1,1,2.484007,0.9322,-4.9110,468
16,82.2088,13,1,0.965910,0.9276,0.5340,481
17,74.3134,22,1,1.713379,0.9229,4.8739,503
18,-48.4236,40,0,1.428987,0.9183,1.9129,543
19,82.7654,16,1,0.990078,0.9137,6.1683,559
20,-47.7872,40,0,1.287841,0.9092,3.4706,599
21,-46.9737,40,0,0.966913,0.9046,3.3827,639
22,-46.4934,40,0,1.117639,0.9001,3.3253,679
23,81.2929,17,1,1.126569,0.8956,9.9756,696
24,-45.9413,40,0,1.029558,0.8911,10.0385,736
25,-51.2593,40,0,1.618854,0.8867,3.1068,776
26,-44.9046,40,0,0.736662,0.8822,3.2909,816
27,97.9852,2,1,0.026811,0.8778,3.8142,818
28,-48.6056,40,0,1.491614,0.8734,3.9192,858
29,-49.8826,40,0,1.103961,0.8691,3.9406,898
30,76.8405,19,1,0.653367,0.8647,4.5773,917
31,94.9718,4,1,1.141248,0.8604,11.9522,921
32,76.3311,22,1,1.063786,0.8561,11.4511,943
33,65.4378,27,1,1.705083,0.8518,17.4184,970
34,62.6923,31,1,1.393947,0.8475,23.1781,1001
35,57.1315,36,1,0.732696,0.8433,21.0850,1037
36,75.8535,21,1,0.807341,0.8391,20.7672,1058
37,-47.1538,40,0,1.311602,0.8349,14.6939,1098
38,-48.6267,40,0,1.188929,0.8307,14.6837,1138
39,84.1364,14,1,1.214751,0.8266,14.7522,1152
40,-46.4877,40,0,1.630765,0.8224,14.8172,1192
