scenario,seed,policy,step_limit,final_alive,final_reached,final_avg_exposure,alive_rate,reached_rate,avg_exposure_total,t90_step,t95_step,faculty_reached_rate,staff_reached_rate,reach_rate_gap,top_bottlenecks
enterprise_baseline,20260227,round_robin,600,55,11,324.4263,1.0,0.2,324.4263,,,0.1429,0.2195,-0.0767,10221745750->10221745754:14;10221745754->10221745750:14;7252948044->7290039940:11;7290039940->7252948044:10;2026718674->2026718675:7;2026718675->2026718674:7;12964600176->6405278899:7;8118847239->8118847167:6;8118847167->8118847239:6;5112556790->83644219:6
enterprise_baseline,20260228,round_robin,600,55,10,293.144,1.0,0.1818,293.144,,,0.1538,0.1905,-0.0366,4960811692->2274089432:16;2274089432->4960811692:15;13002042317->8685728711:9;1400445717->12099873432:9;8685728711->13002042317:8;7011373326->11548067577:8;11548067577->7011373326:8;12099873432->1400445717:8;8685728711->8685735518:7;1525461635->1525461639:7
enterprise_baseline,20260229,round_robin,600,55,10,314.81,1.0,0.1818,314.81,,,0.0769,0.2143,-0.1374,4960811692->2274089432:15;2274089432->4960811692:15;7466253342->8118847125:9;13505463098->13505463096:9;8118847125->7466253342:8;8118847116->8118847115:8;11839484178->12601745406:8;13505463096->13505463098:8;12507229797->12507265501:7;12507265501->12507265504:7
enterprise_baseline,20260230,round_robin,600,55,12,290.9477,1.0,0.2182,290.9477,,,0.0769,0.2619,-0.185,384805312->1525505704:14;1525505704->384805312:13;10566580568->10566580567:9;1525505704->1488125826:9;1488125826->1525505704:9;7157724728->6677331637:8;8118847242->8118847369:8;6677331637->7157724728:8;10220116633->10221745747:7;8118847123->7466253342:7
enterprise_baseline,20260231,round_robin,600,55,14,273.4986,1.0,0.2545,273.4986,,,0.3846,0.2143,0.1703,11963957114->11963957112:11;11963957112->11963957114:11;11181443918->11911586396:10;11911586396->11181443918:9;83566684->83541017:8;8893445277->11811080558:8;11811080558->370747016:8;83541017->1677626277:8;1677626277->83547952:8;370747016->83555619:8
enterprise_baseline,20260232,round_robin,600,55,10,318.9153,1.0,0.1818,318.9153,,,0.0,0.2041,-0.2041,5929354718->5929354717:11;5929354717->5929354718:11;10215084946->10215084929:9;10215084929->6677697023:7;5929354717->5929354716:7;10215084929->10215084946:7;12601745442->12601745437:6;1527763448->5901281817:5;5901281817->5901281818:5;1520496352->1520496331:5
enterprise_baseline,20260233,round_robin,600,55,13,301.78,1.0,0.2364,301.78,,,0.1333,0.275,-0.1417,12260496868->3620750304:17;3620750304->12260496868:17;10268863943->10268863944:12;10268863944->10268863943:12;83559087->12120870518:10;4946474618->12394873108:10;12120870518->12120870514:9;12120870514->12120870518:9;5271377472->8118847169:9;8118847169->5271377472:9
enterprise_baseline,20260234,round_robin,600,55,7,329.0129,1.0,0.1273,329.0129,,,0.0909,0.1364,-0.0455,389049399->389049337:11;389049337->389049399:11;6612285899->6612285898:9;11632214137->12507265559:9;1832170547->11674125158:9;6547997481->6548018031:8;6983068119->10276807684:8;10276807684->6983068119:8;6983068102->6983068103:8;12095934588->83537290:8
enterprise_baseline,20260235,round_robin,600,55,12,275.4988,1.0,0.2182,275.4988,,,0.1667,0.2326,-0.0659,83561762->83616611:11;2026718675->2026718674:10;2026718674->2026718675:9;8118847417->8118847436:8;83561764->83561762:7;8118847436->8118847417:7;388500200->11812718602:7;11812718602->388500200:7;1525526424->4937830302:7;6548017898->1460665012:6
enterprise_baseline,20260236,round_robin,600,55,7,325.603,1.0,0.1273,325.603,,,0.1818,0.1136,0.0682,12372272604->1478297638:13;1478297638->12372272604:12;11965857799->389050581:7;8118847286->5271377938:7;5271377938->8118847286:7;11963951767->7252947457:7;1525441450->1525435946:6;11674142969->1832170532:6;389050581->11965857799:6;8119328789->1478297361:6
