scenario,seed,policy,step_limit,final_alive,final_reached,final_avg_exposure,alive_rate,reached_rate,avg_exposure_total,t90_step,t95_step,faculty_reached_rate,staff_reached_rate,reach_rate_gap,top_bottlenecks
enterprise_blizzard,20260227,round_robin,600,55,1,467.9309,1.0,0.0182,467.9309,,,0.0714,0.0,0.0714,7252948044->7290039940:10;7290039940->7252948044:10;1525505912->1525526440:8;1525526440->1525505912:7;10557315386->10557315385:6;8118847448->4374241258:6;10215084900->10215084889:6;389051919->11963957133:6;11963957133->389051919:6;3588409203->8118847243:6
enterprise_blizzard,20260228,round_robin,600,55,1,447.7959,1.0,0.0182,447.7959,,,0.0,0.0238,-0.0238,4960811692->2274089432:9;2274089432->4960811692:9;83548008->11739344145:8;5929354716->5929354717:8;11739344145->83548008:7;7157724684->7256764693:6;13002042317->8685728711:6;8685728711->13002042317:6;5929354717->5929354716:6;1478297378->1478297367:5
enterprise_blizzard,20260229,round_robin,600,55,1,467.8738,1.0,0.0182,467.8738,,,0.0,0.0238,-0.0238,9068696320->389049525:14;389049525->9068696320:13;4960811692->2274089432:10;2274089432->4960811692:10;13130031744->1677626384:9;1677626507->13130031744:8;1677626384->1677626312:8;1677626312->1677626507:8;12507229797->12507265501:8;83651400->1530457301:7
enterprise_blizzard,20260230,round_robin,600,55,2,445.9214,1.0,0.0364,445.9214,,,0.0,0.0476,-0.0476,384805312->1525505704:16;1525505704->384805312:16;4498840832->4498840816:13;4498840816->4498840832:12;10566580568->10566580567:12;8118847146->3637550196:10;3637550196->8118847146:10;83547958->83547956:9;1467764379->9739875459:9;83547956->83547958:8
enterprise_blizzard,20260231,round_robin,600,55,3,456.7193,1.0,0.0545,456.7193,,,0.0,0.0714,-0.0714,83693918->6612285897:13;6612285897->83693918:12;1520496630->1529819207:11;1529819207->1520496630:10;1520496406->1520496415:10;1520496415->1520496406:10;11963957114->11963957112:9;11963957112->11963957114:9;6501386090->8118847446:8;8118847446->6501386090:7
enterprise_blizzard,20260232,round_robin,600,55,0,467.1617,1.0,0.0,467.1617,,,0.0,0.0,0.0,1530428895->2032007175:10;12954684800->7013708804:9;2032007175->1530428895:9;83550203->7245459879:9;7245459879->7245459884:9;7252948017->5808050698:8;7245459884->7245480002:8;7245480002->7245459883:8;7245459883->83550203:8;5808050698->7252948017:7
enterprise_blizzard,20260233,round_robin,600,55,2,458.3682,1.0,0.0364,458.3682,,,0.0,0.05,-0.05,9448535777->1218569167:16;1218569167->9448535778:16;9448535778->1218569149:16;1520496406->1520496415:15;1520496415->1520496406:15;1218569149->9448535777:14;4946474983->4946474982:13;4946474982->4946474983:13;9739875459->1467764379:11;6501386090->8118847446:10
enterprise_blizzard,20260234,round_robin,600,55,1,471.0236,1.0,0.0182,471.0236,,,0.0,0.0227,-0.0227,1832170532->11674142969:26;11674142969->1832170532:26;1525511891->1519090111:10;1519090111->1525511891:10;6612285899->6612285898:8;5612743610->1529726027:7;1529726027->5612743610:7;6612285898->6612285899:7;11571681761->10938415728:7;11811080499->83644219:6
enterprise_blizzard,20260235,round_robin,600,55,5,431.1858,1.0,0.0909,431.1858,,,0.0833,0.093,-0.0097,12606353046->4960882995:11;4960882995->12606353046:10;83574276->83574278:9;8943388565->9357318869:9;9357318869->8943388565:9;9033512314->83690226:9;8118847248->8118847247:9;83536947->83512191:8;384765307->83512191:8;83690226->9033512314:8
enterprise_blizzard,20260236,round_robin,600,55,2,445.209,1.0,0.0364,445.209,,,0.0909,0.0227,0.0682,11674142969->1832170532:21;1832170532->11674142969:20;12601727796->8119328806:11;8119328806->12601727796:11;8119328809->12601727796:8;8118847396->8118847395:8;10215084914->10215084913:8;8118847395->8118847396:8;7252947424->7252947423:7;5808050694->389051918:7
enterprise_blizzard,20260237,round_robin,600,55,1,465.7407,1.0,0.0182,465.7407,,,0.0,0.0217,-0.0217,9739875461->9739875459:14;9739875459->9739875461:14;1400445717->12099873432:14;12099873432->1400445717:13;9739875459->1467764379:10;1467764379->9739875459:10;1524306435->1524306432:7;1524306432->1524306435:6;7157724523->7157724704:5;8943388565->9357318869:5
enterprise_blizzard,20260238,round_robin,600,55,2,445.3531,1.0,0.0364,445.3531,,,0.0,0.0455,-0.0455,10554949206->10554949205:18;10554949205->10554949206:15;7245459879->7245459884:11;7245459884->7245480002:9;7245480002->7245459883:9;83662412->359405417:8;1218569143->8072761015:7;83550203->7245459879:7;359405417->83662412:7;12606353046->4960882995:7
enterprise_blizzard,20260239,round_robin,600,55,3,455.0539,1.0,0.0545,455.0539,,,0.1111,0.027,0.0841,83551015->83594555:19;83594555->83551015:19;83594555->83520513:13;83520513->83594555:13;12394873109->12394873119:10;12394873119->12394873109:10;4946474983->4946474982:8;4946474982->4946474983:7;10942772649->3620750316:6;83512191->83536947:5
enterprise_blizzard,20260240,round_robin,600,55,0,454.5914,1.0,0.0,454.5914,,,0.0,0.0,0.0,11897462734->7252947934:17;7252947934->11897462734:17;6677331642->11548117359:12;11548117359->6677331642:12;6612285899->6612285898:10;6612285898->6612285899:10;504886732->370753083:9;370753083->504886732:9;6501386090->8118847446:8;6501386090->8118847444:7
enterprise_blizzard,20260241,round_robin,600,55,3,442.4804,1.0,0.0545,442.4804,,,0.0,0.0857,-0.0857,1525505912->1525526440:13;1525526440->1525505912:13;12372270475->12202535212:12;12202535212->12372270475:12;4946474618->12394873108:11;12394873108->4946474618:11;10942772649->3620750316:11;3620750316->10942772649:11;11962053560->7673087156:10;7673087156->11962053560:10
enterprise_blizzard,20260242,round_robin,600,55,2,446.2068,1.0,0.0364,446.2068,,,0.0625,0.0256,0.0369,10206645971->10206645921:21;10206645921->10206645971:20;8943388565->9357318869:12;9357318869->8943388565:12;11897462734->7252947934:11;7252947934->11897462734:10;8118847396->3588409197:9;4374664476->4374664475:8;3588409197->8118847396:8;4374664475->4374664476:8
enterprise_blizzard,20260243,round_robin,600,55,0,476.1577,1.0,0.0,476.1577,,,0.0,0.0,0.0,4959089002->4950055201:27;4950055201->4959089002:27;6405278899->10206629909:10;10206629909->6405278899:9;6501386090->8118847444:8;8118847446->6501386090:8;8118847292->8118847293:7;8118847293->384784760:7;8118847292->8118847289:6;2313165911->2469692818:6
enterprise_blizzard,20260244,round_robin,600,55,1,460.019,1.0,0.0182,460.019,,,0.0,0.0256,-0.0256,10125178404->389039067:20;389039067->10125178404:19;1400559639->8119358246:14;8119358246->1400559639:13;11412881620->6821837419:10;8118847446->6501386090:9;6821837419->11412881620:9;6501386090->8118847444:8;11404640128->384769998:8;384769998->7179320504:8
enterprise_blizzard,20260245,round_robin,600,55,0,459.1166,1.0,0.0,459.1166,,,0.0,0.0,0.0,4960811692->2274089432:16;2274089432->4960811692:16;11674125166->11674125162:14;11674125162->11674125166:14;10213549220->10213549225:13;10213549225->10213549220:13;6704018609->12372270494:10;12372270494->6704018609:10;7252948044->7290039940:9;7290039940->7252948044:9
