scenario,seed,policy,step_limit,final_alive,final_reached,final_avg_exposure,alive_rate,reached_rate,avg_exposure_total,t90_step,t95_step,faculty_reached_rate,staff_reached_rate,reach_rate_gap,top_bottlenecks,persona_part_time_student_reached_rate,persona_part_time_student_count,persona_young_student_reached_rate,persona_young_student_count,persona_student_with_anxiety_reached_rate,persona_student_with_anxiety_count,persona_facilities_staff_reached_rate,persona_facilities_staff_count,persona_visitor_reached_rate,persona_visitor_count,persona_international_student_reached_rate,persona_international_student_count,persona_junior_faculty_reached_rate,persona_junior_faculty_count,persona_senior_faculty_reached_rate,persona_senior_faculty_count,persona_student_athlete_reached_rate,persona_student_athlete_count,persona_it_staff_reached_rate,persona_it_staff_count,persona_staff_admin_reached_rate,persona_staff_admin_count,persona_mobility_impaired_reached_rate,persona_mobility_impaired_count,persona_research_scientist_reached_rate,persona_research_scientist_count,persona_conference_attendee_reached_rate,persona_conference_attendee_count,persona_freshman_student_reached_rate,persona_freshman_student_count,persona_campus_security_reached_rate,persona_campus_security_count,persona_healthcare_staff_reached_rate,persona_healthcare_staff_count,persona_graduate_student_reached_rate,persona_graduate_student_count,persona_adjunct_instructor_reached_rate,persona_adjunct_instructor_count,role_student_reached_rate,role_student_count,role_staff_reached_rate,role_staff_count,role_visitor_reached_rate,role_visitor_count,role_faculty_reached_rate,role_faculty_count,shelter_reassignments,shelter_capacity_enabled,interaction_density_enabled,drqn_unreached_debug,persona_prospective_student_with_parent_reached_rate,persona_prospective_student_with_parent_count
enterprise_blizzard_light,20260227,drqn,600,55,41,18.1072,1.0,0.7455,18.1072,,,0.8889,0.8333,0.0556,11181443770->11181443779:11;11181443779->386248026:11;386248026->1530473146:11;1530473146->1530466308:11;1530466308->1400583683:11;1400583683->10554874821:11;10554874821->1530466290:11;1530466290->10554874840:11;10554874840->10554874837:11;10554874837->4937846511:11,1.0,2,0.5,6,0.6667,3,1.0,4,1.0,1,0.7143,7,1.0,2,1.0,6,1.0,4,1.0,1,1.0,2,1.0,1,1.0,1,0.6667,3,0.5,6,0.5,2,0.5,2,0.0,1,0.0,1,0.6552,29,0.8333,12,0.8,5,0.8889,9,0,False,False,[],,
enterprise_blizzard_light,20260228,drqn,600,55,42,18.891,1.0,0.7636,18.891,,,0.8889,0.7692,0.1197,1519090097->1525526361:9;8118847235->11571681761:9;11571681761->10938415728:9;10938415728->8118847237:9;10171975058->10550594356:8;10550594356->10550594344:8;10550594344->10550594430:8;10550594430->10550594431:8;10550594431->10550594437:8;10550594437->10550594435:8,0.5,2,0.875,8,0.0,1,0.5,2,,,0.5714,7,0.0,1,1.0,5,1.0,2,1.0,1,0.6,5,,,1.0,1,1.0,1,0.6667,6,1.0,1,1.0,3,0.8333,6,1.0,3,0.7188,32,0.7692,13,1.0,1,0.8889,9,0,False,False,[],,
enterprise_blizzard_light,20260229,drqn,600,55,40,61.4698,1.0,0.7273,61.4698,,,0.8182,0.9,-0.0818,4971422808->6610945740:160;6610945740->4971422808:159;391639061->10276852271:71;10276852271->391639061:70;5271377480->5271377479:61;12394873119->4946474593:60;4946474593->12394873119:60;5271377479->5271377480:59;10276852271->10276852272:57;10276852272->10276852271:56,0.0,1,0.7143,7,0.0,3,1.0,2,0.5,2,0.0,1,1.0,3,0.7143,7,1.0,1,1.0,3,1.0,2,,,0.5,2,0.0,1,0.8889,9,1.0,1,,,0.8571,7,1.0,1,0.6897,29,0.9,10,0.4,5,0.8182,11,0,False,False,[],0.5,2
enterprise_blizzard_light,20260230,drqn,600,55,41,17.4745,1.0,0.7455,17.4745,,,0.8,0.9333,-0.1333,5836227408->1530414144:11;4555597598->11963957086:10;1224162558->1530414280:9;1530414280->1530414271:9;1530414271->2032007175:9;2032007175->1530428895:9;10776295218->390072670:9;1530428895->1530428843:9;390072670->7447452235:9;1530428843->1530414196:9,0.5,2,0.8,5,0.0,2,1.0,5,1.0,1,1.0,1,1.0,3,0.6667,6,1.0,1,1.0,5,1.0,1,,,,,0.0,1,0.625,8,1.0,1,0.6667,3,0.6667,9,1.0,1,0.6429,28,0.9333,15,0.5,2,0.8,10,0,False,False,[],,
enterprise_blizzard_light,20260231,drqn,600,55,43,58.3482,1.0,0.7818,58.3482,,,0.9,0.8571,0.0429,1530206522->1530206495:71;1530206495->1530206522:71;6983068147->6983068144:41;6983068144->6983068147:41;12917906071->10858155790:31;10858155790->12917906071:31;1530225510->1530225767:27;1530225767->10200333101:27;13334851956->10858155790:26;10858155790->13334851956:26,0.0,1,1.0,6,0.5,2,0.5,2,0.5,2,0.75,4,1.0,5,0.75,4,1.0,3,,,1.0,2,0.5,2,,,0.5,2,0.7143,7,1.0,1,1.0,2,0.75,8,1.0,1,0.7742,31,0.8571,7,0.5714,7,0.9,10,0,False,False,[],1.0,1
enterprise_blizzard_light,20260232,drqn,600,55,42,54.4099,1.0,0.7636,54.4099,,,0.7778,0.6667,0.1111,13513694414->4374664472:15;4374664472->13513694414:14;13513694414->7289897568:14;7289897568->13513694414:14;6501386090->8118847446:11;8118847446->6501386090:11;1530225948->6677697018:10;1530225535->1519095166:9;6677331642->11548117359:9;11548117359->7157724645:9,1.0,1,0.6,10,1.0,5,1.0,1,0.5,2,,,1.0,2,0.8333,6,1.0,4,0.3333,3,1.0,4,,,0.0,1,1.0,1,0.8571,7,,,,,0.7143,7,0.0,1,0.7941,34,0.6667,9,0.6667,3,0.7778,9,0,False,False,[],,
enterprise_blizzard_light,20260233,drqn,600,55,45,12.6964,1.0,0.8182,12.6964,,,0.75,1.0,-0.25,6448827255->6448827254:10;6448827254->6404901788:10;4374241307->4374241312:9;4374241312->4374241316:9;7400658636->4374241319:9;1832170440->6448827255:9;6404901788->6404898379:9;4374241300->389015298:8;389015304->11048144362:7;11048144362->11048144382:7,1.0,1,0.6923,13,0.6667,3,,,1.0,1,0.0,1,1.0,3,0.5,6,1.0,3,1.0,3,1.0,3,,,,,,,0.875,8,,,1.0,1,1.0,6,1.0,3,0.8,35,1.0,7,1.0,1,0.75,12,0,False,False,[],,
enterprise_blizzard_light,20260234,drqn,600,55,44,14.1014,1.0,0.8,14.1014,,,1.0,0.8,0.2,6983068123->6983068132:17;6983068132->6983068111:17;10269099290->10269099291:15;6983068111->6983068132:15;6983068132->6983068123:15;10269099291->10269099290:14;10550594435->10550594420:8;10550594420->10550594470:8;6983068100->6983068097:8;10550594470->6620771272:8,0.5,2,0.875,8,0.25,4,0.75,4,1.0,1,,,1.0,2,1.0,5,0.6667,3,,,0.6667,3,,,0.6667,3,0.5,2,0.8333,6,1.0,3,1.0,2,1.0,7,,,0.7667,30,0.8,15,0.6667,3,1.0,7,0,False,False,[],,
enterprise_blizzard_light,20260235,drqn,600,55,42,20.8873,1.0,0.7636,20.8873,,,0.5714,1.0,-0.4286,8118847214->8118847215:22;8118847215->8118847214:21;8118847187->8118847214:16;8118847214->8118847187:15;504886729->509912240:12;11860831685->8118847187:11;1530225948->6677697018:11;1832170440->6448827255:10;1530206531->11965813832:10;6448827255->6448827254:10,0.6667,3,0.5556,9,0.5,2,,,,,0.6,5,0.5,2,0.75,4,1.0,1,1.0,2,1.0,3,1.0,1,1.0,3,,,0.7778,9,1.0,1,1.0,1,1.0,8,0.0,1,0.7297,37,1.0,10,1.0,1,0.5714,7,0,False,False,[],,
enterprise_blizzard_light,20260236,drqn,600,55,48,21.0527,1.0,0.8727,21.0527,,,1.0,0.9444,0.0556,8496637476->8496637479:126;8496637479->8496637476:121;1530225767->83716675:18;6677697018->1530225821:14;1530225821->10200333101:14;10200333101->1530225767:14;1530225948->6677697018:13;6620771272->6620771273:11;6620771273->10550646564:11;10550646564->6620830799:11,1.0,1,1.0,7,1.0,1,1.0,5,1.0,2,0.6,5,1.0,2,1.0,1,1.0,3,1.0,1,0.8571,7,,,1.0,2,1.0,1,0.5714,7,1.0,2,1.0,1,0.8571,7,,,0.8065,31,0.9444,18,1.0,3,1.0,3,0,False,False,[],,
