scenario,seed,policy,step_limit,final_alive,final_reached,final_avg_exposure,alive_rate,reached_rate,avg_exposure_total,t90_step,t95_step,faculty_reached_rate,staff_reached_rate,reach_rate_gap,top_bottlenecks,persona_part_time_student_reached_rate,persona_part_time_student_count,persona_young_student_reached_rate,persona_young_student_count,persona_student_with_anxiety_reached_rate,persona_student_with_anxiety_count,persona_facilities_staff_reached_rate,persona_facilities_staff_count,persona_visitor_reached_rate,persona_visitor_count,persona_international_student_reached_rate,persona_international_student_count,persona_junior_faculty_reached_rate,persona_junior_faculty_count,persona_senior_faculty_reached_rate,persona_senior_faculty_count,persona_student_athlete_reached_rate,persona_student_athlete_count,persona_it_staff_reached_rate,persona_it_staff_count,persona_staff_admin_reached_rate,persona_staff_admin_count,persona_mobility_impaired_reached_rate,persona_mobility_impaired_count,persona_research_scientist_reached_rate,persona_research_scientist_count,persona_conference_attendee_reached_rate,persona_conference_attendee_count,persona_freshman_student_reached_rate,persona_freshman_student_count,persona_campus_security_reached_rate,persona_campus_security_count,persona_healthcare_staff_reached_rate,persona_healthcare_staff_count,persona_graduate_student_reached_rate,persona_graduate_student_count,persona_adjunct_instructor_reached_rate,persona_adjunct_instructor_count,role_student_reached_rate,role_student_count,role_staff_reached_rate,role_staff_count,role_visitor_reached_rate,role_visitor_count,role_faculty_reached_rate,role_faculty_count,shelter_reassignments,shelter_capacity_enabled,interaction_density_enabled,drqn_unreached_debug,persona_prospective_student_with_parent_reached_rate,persona_prospective_student_with_parent_count
enterprise_blizzard_moderate,20260227,drqn,600,55,36,130.3724,1.0,0.6545,130.3724,,,0.7778,0.75,0.0278,10276670957->3620750340:211;3620750340->10276670957:211;1478297481->8893445275:187;8893445275->1478297481:187;3531672555->83560917:135;83560917->3531672555:135;11897468732->11897468712:80;11897468712->11897468732:80;3531672554->7252947958:79;7252947958->3531672554:78,0.5,2,0.3333,6,1.0,3,1.0,4,1.0,1,0.7143,7,1.0,2,0.8333,6,0.75,4,1.0,1,1.0,2,1.0,1,1.0,1,0.6667,3,0.3333,6,0.5,2,0.0,2,0.0,1,0.0,1,0.5517,29,0.75,12,0.8,5,0.7778,9,0,False,False,"[{'agent_id': 8, 'node': 3531672556, 'goal': 8580601234, 'current_target': 8580601234, 'committed_next': None, 'candidates': [], 'q_values': [-159.82940673828125, -163.59153747558594, -160.4111328125, -162.16001892089844, -159.74295043945312, -127.0086441040039, -113.41971588134766, -0.20065589249134064, 0.16962914168834686], 'masked_q_values': [-159.82940673828125, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 12, 'node': 10269098998, 'goal': 13195940221, 'current_target': 13195940221, 'committed_next': None, 'candidates': [], 'q_values': [-152.46121215820312, -155.507080078125, -153.53457641601562, -154.84243774414062, -153.1375732421875, -121.69784545898438, -107.48470306396484, -0.21273498237133026, 0.2032395452260971], 'masked_q_values': [-152.46121215820312, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 23, 'node': 7290039932, 'goal': 11048144375, 'current_target': 11048144375, 'committed_next': None, 'candidates': [], 'q_values': [-159.30038452148438, -163.440185546875, -159.1820526123047, -162.356689453125, -159.2069854736328, -125.62085723876953, -115.00617218017578, -0.1890261471271515, 0.13162653148174286], 'masked_q_values': [-159.30038452148438, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 25, 'node': 6641868731, 'goal': 7118760379, 'current_target': 7118760379, 'committed_next': None, 'candidates': [], 'q_values': [-157.9878387451172, -162.0143585205078, -158.23590087890625, -161.31703186035156, -158.52655029296875, -125.19145965576172, -113.84089660644531, -0.17677010595798492, 0.1456889659166336], 'masked_q_values': [-157.9878387451172, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 35, 'node': 8893445277, 'goal': 7118760379, 'current_target': 7118760379, 'committed_next': None, 'candidates': [], 'q_values': [-158.20645141601562, -162.3643035888672, -157.9724578857422, -161.8285675048828, -158.53158569335938, -124.95962524414062, -114.25013732910156, -0.17618021368980408, 0.13240958750247955], 'masked_q_values': [-158.20645141601562, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}]",,
enterprise_blizzard_moderate,20260228,drqn,600,55,40,31.1671,1.0,0.7273,31.1671,,,0.7778,0.8182,-0.0404,1525461639->1525461635:9;1525461635->1224162504:9;1224162504->1224162558:9;1224162558->1530414280:9;1530414280->1530414271:9;1530414271->2032007175:9;2032007175->1530428895:9;1530428895->1530428843:9;1530428843->1530414196:9;5929354713->13255088292:9,1.0,1,0.7,10,0.0,2,0.5,2,,,0.5714,7,,,0.8,5,1.0,2,0.0,1,1.0,3,,,1.0,1,1.0,1,0.6667,6,1.0,1,1.0,3,0.8333,6,0.75,4,0.6765,34,0.8182,11,1.0,1,0.7778,9,0,False,False,[],,
enterprise_blizzard_moderate,20260229,drqn,600,55,40,136.042,1.0,0.7273,136.042,,,0.7273,0.9,-0.1727,1468863434->5233944722:89;5233944722->1468863434:89;10269099291->10269099292:72;10269099292->10269099291:71;5233943901->1468863434:42;1468863434->5233943901:42;10268863940->10268863939:33;10268863939->10268863940:33;10200584595->10276852250:31;10276852250->10200584595:31,0.0,1,0.8571,7,0.0,3,1.0,2,0.5,2,0.0,1,1.0,3,0.5714,7,1.0,1,1.0,3,1.0,2,,,0.5,2,0.0,1,0.8889,9,1.0,1,,,0.8571,7,1.0,1,0.7241,29,0.9,10,0.4,5,0.7273,11,0,False,False,"[{'agent_id': 30, 'node': 10268863940, 'goal': 83561759, 'current_target': 83561759, 'committed_next': None, 'candidates': [], 'q_values': [46.89629364013672, 49.718563079833984, 47.232994079589844, 50.021705627441406, 54.863929748535156, 37.94624710083008, 37.61381530761719, -0.4463540017604828, 0.491499125957489], 'masked_q_values': [46.89629364013672, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}]",0.5,2
enterprise_blizzard_moderate,20260230,drqn,600,55,38,117.3197,1.0,0.6909,117.3197,,,0.8,0.8333,-0.0333,5112556790->83718230:177;83718230->5112556790:175;11965841473->11965841477:168;11965841477->11965841473:168;6615523688->1859112853:164;1859112853->6615523688:164;6615523687->6615523688:45;6615523688->6615523687:42;7115776147->83570479:32;83570479->7115776147:32,0.3333,3,0.8571,7,0.5,2,1.0,3,1.0,1,0.0,1,1.0,3,0.6667,6,1.0,1,0.75,4,1.0,2,,,,,0.0,1,0.3333,6,,,0.6667,3,0.7273,11,1.0,1,0.6129,31,0.8333,12,0.5,2,0.8,10,0,False,False,"[{'agent_id': 23, 'node': 7157724572, 'goal': 10125220313, 'current_target': 10125220313, 'committed_next': None, 'candidates': [], 'q_values': [-155.8865203857422, -160.2775421142578, -155.59410095214844, -158.69097900390625, -155.50726318359375, -122.79684448242188, -113.40011596679688, -0.2027105689048767, 0.14259202778339386], 'masked_q_values': [-155.8865203857422, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 35, 'node': 7115776146, 'goal': 10125220313, 'current_target': 10125220313, 'committed_next': None, 'candidates': [], 'q_values': [-159.58204650878906, -163.52574157714844, -159.7140350341797, -162.44091796875, -159.28244018554688, -126.48168182373047, -114.5738754272461, -0.265836238861084, 0.12736354768276215], 'masked_q_values': [-159.58204650878906, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 36, 'node': 1526930768, 'goal': 11577641197, 'current_target': 11577641197, 'committed_next': None, 'candidates': [], 'q_values': [-154.31802368164062, -158.59527587890625, -153.94088745117188, -157.93801879882812, -154.578369140625, -121.98649597167969, -111.83675384521484, -0.18790340423583984, 0.15119333565235138], 'masked_q_values': [-154.31802368164062, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}]",,
enterprise_blizzard_moderate,20260231,drqn,600,55,40,115.2679,1.0,0.7273,115.2679,,,0.8,0.5714,0.2286,1832170539->1832170498:133;1832170498->1832170539:132;5798161560->10276670957:85;10276670957->5798161560:85;1832170498->6821837419:26;6821837419->1832170498:23;10566580568->10566580567:17;10566580567->13276899743:17;13276899743->6677331627:17;6677331627->7157724707:16,0.0,1,1.0,6,0.5,2,0.0,2,0.5,2,0.75,4,0.8,5,0.75,4,1.0,3,,,1.0,2,0.5,2,,,0.5,2,0.8571,7,1.0,1,0.5,2,0.625,8,1.0,1,0.7742,31,0.5714,7,0.5714,7,0.8,10,0,False,False,"[{'agent_id': 36, 'node': 6821837419, 'goal': 1638160534, 'current_target': 1638160534, 'committed_next': None, 'candidates': [], 'q_values': [-113.99748229980469, -116.26358795166016, -113.34725952148438, -113.11939239501953, -112.36603546142578, -91.9365463256836, -79.20435333251953, -0.3224424421787262, 0.09485785663127899], 'masked_q_values': [-113.99748229980469, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}]",1.0,1
enterprise_blizzard_moderate,20260232,drqn,600,55,41,79.9175,1.0,0.7455,79.9175,,,0.8889,0.4286,0.4603,8118847139->8118847187:111;8118847187->8118847139:111;4374241287->1524306587:54;1524306587->4374241287:54;4374241287->13199976131:34;13199976131->4374241287:32;6448827255->6448827254:13;6448827254->6404901788:13;7245459837->11206886817:12;11206886817->11206886815:12,1.0,1,0.6667,12,1.0,3,,,0.5,2,1.0,3,1.0,2,1.0,5,1.0,3,0.0,2,0.5,2,1.0,1,0.0,1,1.0,1,0.7143,7,1.0,1,1.0,1,0.6667,6,0.5,2,0.7714,35,0.4286,7,0.75,4,0.8889,9,0,False,False,[],,
enterprise_blizzard_moderate,20260233,drqn,600,55,42,26.8838,1.0,0.7636,26.8838,,,0.75,0.8571,-0.1071,10200584607->10200601421:11;1832170440->6448827255:10;6448827255->6448827254:10;6448827254->6404901788:10;1529549392->1526930737:10;1526930737->10200581317:10;6404901788->6404898379:9;1519089976->9969324135:9;9969324135->10200584614:9;10200584614->10200584607:9,0.0,1,0.7692,13,0.6667,3,,,1.0,1,0.0,1,1.0,3,0.5,6,1.0,3,1.0,3,0.6667,3,,,,,,,0.875,8,,,1.0,1,0.6667,6,1.0,3,0.7429,35,0.8571,7,1.0,1,0.75,12,0,False,False,[],,
enterprise_blizzard_moderate,20260234,drqn,600,55,40,88.4303,1.0,0.7273,88.4303,,,0.8571,0.7333,0.1238,10550594422->10550594424:136;10550594424->10550594422:136;10550594426->10550594428:72;10550594428->10550594426:71;6983068100->6983068097:14;7245480025->7256764794:14;10550594344->10550594430:12;10550594431->10550594437:11;6983068097->6983068100:11;10550594437->10550594435:10,0.5,2,0.875,8,0.25,4,0.75,4,1.0,1,,,1.0,2,0.8,5,0.3333,3,,,0.6667,3,,,0.6667,3,0.5,2,0.8333,6,0.6667,3,1.0,2,0.8571,7,,,0.7,30,0.7333,15,0.6667,3,0.8571,7,0,False,False,"[{'agent_id': 34, 'node': 10550594428, 'goal': 1525505969, 'current_target': 1525505969, 'committed_next': None, 'candidates': [], 'q_values': [-147.77102661132812, -151.06239318847656, -148.78640747070312, -150.06541442871094, -147.95523071289062, -117.50167083740234, -104.11553192138672, -0.32620352506637573, 0.0011253207921981812], 'masked_q_values': [-147.77102661132812, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}]",,
enterprise_blizzard_moderate,20260235,drqn,600,55,40,52.0488,1.0,0.7273,52.0488,,,0.4286,1.0,-0.5714,10220116632->10220116650:13;5233943890->5233943897:13;10220116642->10220116630:12;10220116630->10220116631:12;1530225948->6677697018:12;1530457301->83651400:12;1530206531->11965813832:11;11965813832->1530225948:11;10220116631->10220116632:11;6448827255->6448827254:11,0.3333,3,0.5556,9,0.6667,3,,,,,0.5,4,0.5,2,0.5,4,1.0,2,1.0,2,1.0,2,1.0,2,1.0,3,,,0.75,8,1.0,1,1.0,2,1.0,7,0.0,1,0.6944,36,1.0,10,1.0,2,0.4286,7,0,False,False,[],,
enterprise_blizzard_moderate,20260236,drqn,600,55,42,65.0285,1.0,0.7636,65.0285,,,0.6667,0.7059,-0.0392,8496637476->8496637479:136;8496637479->8496637476:130;1530225767->83716675:16;6677697018->1530225821:14;1530225821->10200333101:14;10200333101->1530225767:14;1530225948->6677697018:13;1530206531->11965813832:12;11965813832->1530225948:12;1529549392->1526930737:11,1.0,1,1.0,7,1.0,1,0.8,5,1.0,1,0.6,5,0.5,2,1.0,1,1.0,3,1.0,1,0.7143,7,,,1.0,1,1.0,1,0.625,8,0.5,2,0.0,1,0.75,8,,,0.7879,33,0.7059,17,1.0,2,0.6667,3,0,False,False,[],,
