step,alive,reached,avg_exposure
-1,55,0,0.000
0,55,1,0.220
1,55,1,0.459
2,55,1,0.628
3,55,1,0.762
4,55,1,0.970
5,55,2,1.090
6,55,2,1.229
7,55,2,1.370
8,55,3,1.495
9,55,3,1.763
10,55,4,1.926
11,55,4,2.090
12,55,4,2.256
13,55,5,2.511
14,55,6,2.663
15,55,7,2.832
16,55,7,2.985
17,55,7,3.156
18,55,7,3.347
19,55,7,3.573
20,55,7,3.836
21,55,8,4.014
22,55,8,4.175
23,55,8,4.354
24,55,8,4.570
25,55,8,4.753
26,55,8,4.920
27,55,8,5.089
28,55,8,5.276
29,55,8,5.464
30,55,8,5.603
31,55,8,5.793
32,55,9,5.951
33,55,9,6.161
34,55,10,6.440
35,55,10,6.616
36,55,10,6.744
37,55,10,6.941
38,55,10,7.190
39,55,12,7.307
40,55,12,7.622
41,55,12,7.838
42,55,12,8.039
43,55,12,8.257
44,55,14,8.376
45,55,14,8.609
46,55,14,8.811
47,55,14,9.014
48,55,14,9.201
49,55,14,9.390
50,55,14,9.548
51,55,14,9.723
52,55,14,9.997
53,55,14,10.239
54,55,15,10.418
55,55,15,10.677
56,55,15,10.873
57,55,15,11.054
58,55,15,11.251
59,55,15,11.466
60,55,15,11.635
61,55,15,11.869
62,55,16,12.089
63,55,16,12.306
64,55,17,12.572
65,55,18,12.774
66,55,18,12.975
67,55,18,13.176
68,55,18,13.425
69,55,18,13.628
70,55,19,13.849
71,55,20,14.052
72,55,20,14.254
73,55,20,14.489
74,55,20,14.739
75,55,20,15.037
76,55,20,15.319
77,55,20,15.541
78,55,20,15.780
79,55,20,16.051
80,55,20,16.260
81,55,20,16.455
82,55,20,16.621
83,55,20,16.863
84,55,20,17.075
85,55,20,17.288
86,55,20,17.580
87,55,20,17.797
88,55,21,18.029
89,55,21,18.214
90,55,21,18.444
91,55,21,18.691
92,55,21,18.865
93,55,21,19.055
94,55,21,19.261
95,55,21,19.482
96,55,21,19.675
97,55,22,19.927
98,55,22,20.148
99,55,22,20.355
100,55,22,20.549
101,55,22,20.830
102,55,22,21.055
103,55,22,21.324
104,55,22,21.579
105,55,22,21.793
106,55,22,22.093
107,55,22,22.350
108,55,22,22.594
109,55,22,22.839
110,55,22,23.085
111,55,22,23.275
112,55,23,23.482
113,55,23,23.741
114,55,23,23.917
115,55,23,24.136
116,55,23,24.426
117,55,23,24.675
118,55,23,24.869
119,55,24,25.078
120,55,24,25.283
121,55,24,25.503
122,55,25,25.683
123,55,25,25.927
124,55,25,26.132
125,55,25,26.419
126,55,25,26.625
127,55,25,26.845
128,55,25,27.108
129,55,26,27.317
130,55,26,27.604
131,55,26,27.824
132,55,26,28.138
133,55,26,28.373
134,55,26,28.554
135,55,26,28.817
136,55,26,29.066
137,55,26,29.264
138,55,26,29.516
139,55,26,29.716
140,55,26,29.968
141,55,26,30.196
142,55,26,30.438
143,55,26,30.668
144,55,26,30.937
145,55,27,31.143
146,55,27,31.371
147,55,27,31.573
148,55,28,31.801
149,55,28,32.011
150,55,28,32.287
151,55,28,32.500
152,55,28,32.700
153,55,28,32.928
154,55,28,33.143
155,55,28,33.409
156,55,28,33.651
157,55,28,33.893
158,55,28,34.111
159,55,28,34.379
160,55,28,34.586
161,55,28,34.855
162,55,28,35.125
163,55,29,35.384
164,55,29,35.602
165,55,29,35.856
166,55,29,36.147
167,55,29,36.391
168,55,29,36.611
169,55,29,36.807
170,55,29,37.030
171,55,29,37.229
172,55,29,37.453
173,55,29,37.736
174,55,29,37.973
175,55,29,38.186
176,55,29,38.411
177,55,29,38.661
178,55,29,38.899
179,55,29,39.161
180,55,29,39.379
181,55,29,39.585
182,55,29,39.805
