scenario,seed,policy,step_limit,final_alive,final_reached,final_avg_exposure,alive_rate,reached_rate,avg_exposure_total,t90_step,t95_step,faculty_reached_rate,staff_reached_rate,reach_rate_gap,top_bottlenecks
enterprise_baseline,20260227,round_robin,600,55,14,299.3745,1.0,0.2545,299.3745,,,0.3077,0.2381,0.0696,10938415728->11571681761:8;11522077167->11522077162:8;11522077162->11522077167:8;12507265616->12507265617:8;11571681761->10938415728:7;11812719038->13276919891:7;1530225908->1530225921:7;12507265617->12507265616:7;8118847140->8118847139:6;1530225921->1530225908:6
enterprise_baseline,20260228,round_robin,600,55,15,292.1459,1.0,0.2727,292.1459,,,0.3333,0.2558,0.0775,12293992400->12294031604:8;12294031604->12293992400:7;3620750336->11571706269:7;5271377484->8118847263:6;10206561234->2032079412:6;11571706269->3620750336:6;13255088104->12154754710:6;1520496367->1527763449:5;8118847263->5271377484:5;13255088011->13255088033:5
enterprise_baseline,20260229,round_robin,600,55,15,293.3248,1.0,0.2727,293.3248,,,0.5556,0.2174,0.3382,8119358242->7671131570:12;1519095190->10200584614:12;6612285898->6612285899:11;1478297350->6587695900:11;6587695900->1478297350:11;6612285899->6612285898:10;7671131570->8119358242:10;6587695898->1478297350:10;11048144362->389015304:9;389015304->11048144362:9
enterprise_baseline,20260230,round_robin,600,55,15,291.4079,1.0,0.2727,291.4079,,,0.2857,0.2708,0.0149,12120870518->83559087:9;12499016766->6489536791:9;8119328772->12601745435:9;83559087->12120870518:9;12601745429->83566684:9;83566684->12601745429:9;6489536791->12499016766:8;12120870518->12120870514:8;12601745435->8119328772:8;12120870514->12120870518:8
enterprise_baseline,20260231,round_robin,600,55,15,287.1479,1.0,0.2727,287.1479,,,0.3636,0.25,0.1136,2274089444->4960811690:14;4960811690->2274089444:13;10206645971->10206645921:12;10206645921->10206645971:12;1525435943->1525441450:8;8118847116->8118847114:7;1525441450->1525435943:7;8118847114->8118847116:7;8119358121->83547952:6;6405278899->12964600176:6
enterprise_baseline,20260232,round_robin,600,55,15,296.5712,1.0,0.2727,296.5712,,,0.4667,0.2,0.2667,4960811690->2274089444:8;2274089444->4960811690:8;5929354718->5929354717:7;1530428895->2032007175:7;2032007175->5929354718:7;8580585954->10554098105:7;10554098105->8580585954:7;11962061171->11962061169:5;8118847283->5271377428:5;7011052956->7986484597:5
enterprise_baseline,20260233,round_robin,600,55,15,293.6532,1.0,0.2727,293.6532,,,0.2143,0.2927,-0.0784,9969324133->1519089976:14;1519089976->9969324133:13;8118847372->11529389608:12;8496637477->8496637478:10;11529389608->8118847372:10;8496637478->8496637477:8;8118847345->8118847344:6;6448827255->1832170440:6;1527763448->5901281817:6;1832170440->6448827255:6
enterprise_baseline,20260234,round_robin,600,55,15,302.682,1.0,0.2727,302.682,,,0.3333,0.2609,0.0725,12507229795->11632214140:6;8118847241->8118847239:6;8118847239->8118847167:6;11632214140->12507229795:5;12293992388->12293992391:5;12293992391->12293992388:5;83599610->83690226:5;3588409203->8118847241:5;83690226->9033512314:5;8118847167->8118847239:5
enterprise_baseline,20260235,round_robin,600,55,13,307.6858,1.0,0.2364,307.6858,,,0.25,0.2308,0.0192,8118847048->4374241235:12;2213346081->8118847050:11;4374241235->8118847048:9;10200584551->10200584552:9;11812719038->11812718979:9;1529819106->10200584551:8;11812718979->11812719038:8;10200584552->10200584551:8;11963957078->11963957076:8;11963957076->11963957078:8
enterprise_baseline,20260236,round_robin,600,55,15,289.8075,1.0,0.2727,289.8075,,,0.3684,0.2222,0.1462,4937830302->1525526424:11;1525526424->4937830302:10;5808043285->11897462724:9;6677331642->11548117359:7;11548117359->6677331642:7;11812718979->11812719038:7;11812719038->11812718979:7;11897462724->5808043285:7;6547997468->6547997467:6;6547997467->6547997468:6
