scenario,seed,policy,step_limit,final_alive,final_reached,final_avg_exposure,alive_rate,reached_rate,avg_exposure_total,t90_step,t95_step,faculty_reached_rate,staff_reached_rate,reach_rate_gap,top_bottlenecks
enterprise_compound,20260227,round_robin,600,55,0,415.0579,1.0,0.0,415.0579,,,0.0,0.0,0.0,1460665007->83561764:11;83561764->1460665007:10;83594555->83551015:9;4498840832->4498840816:9;83551015->83594555:8;4498840816->4498840832:8;83520513->83594552:7;1478297367->1478297378:7;6496723767->8118847077:6;83520513->83594555:6
enterprise_compound,20260228,round_robin,600,55,0,413.0332,1.0,0.0,413.0332,,,0.0,0.0,0.0,1478297367->1478297378:21;1478297378->1478297367:16;1525505704->384805312:15;384805312->1525505704:14;1478297373->1478297367:12;12505188983->11181295872:11;1478297378->83546599:10;11181295872->12505188983:10;83546599->1478297373:8;1478297367->1478297373:7
enterprise_compound,20260229,round_robin,600,55,0,416.175,1.0,0.0,416.175,,,0.0,0.0,0.0,12779957460->7013215232:19;7013215232->12779957460:18;10200584607->10200601419:10;10276852305->10276852294:9;10200601419->10200584607:9;10276852294->10276852305:8;83512191->83536947:8;11812718733->11812718732:7;83536947->83512191:7;11812718732->11812718733:6
enterprise_compound,20260230,round_robin,600,55,0,416.7747,1.0,0.0,416.7747,,,0.0,0.0,0.0,12499016766->6489536791:12;6489536791->12499016766:11;13130031744->1677626384:10;1677626384->1677626312:9;1677626312->1677626507:9;1677626507->13130031744:9;12601745429->83566684:9;83574273->83574275:9;83574275->83574273:8;83566684->12601745429:8
enterprise_compound,20260231,round_robin,600,55,0,414.4589,1.0,0.0,414.4589,,,0.0,0.0,0.0,2274089444->4960811690:17;4960811690->2274089444:16;12481802249->12481802246:13;12481802246->12481802249:12;8072761012->1218569361:9;1218569361->1218569143:9;12481802249->11152576833:8;7245509787->83531876:8;11152576833->12481802249:8;1218569143->8072761015:8
enterprise_compound,20260232,round_robin,600,55,1,408.5619,1.0,0.0182,408.5619,,,0.0,0.025,-0.025,12499016766->6489536791:17;6489536791->12499016766:17;10554949203->10554949195:11;10269099338->10269099322:10;10554949195->10554949203:10;10269099322->10269099338:9;13255088075->7245426601:9;7245426601->13255088075:8;8118847292->8118847289:8;8118847289->8118847292:7
enterprise_compound,20260233,round_robin,600,55,0,413.5734,1.0,0.0,413.5734,,,0.0,0.0,0.0,1520496406->1520496415:12;1520496415->1520496406:12;11548117359->6677331642:11;6677331642->11548117359:10;9969324133->1519089976:9;1467764379->9739875459:9;1519089976->9969324133:8;10269099227->10269099232:8;8118847345->8118847344:8;9739875459->1467764379:8
enterprise_compound,20260234,round_robin,600,55,0,412.3695,1.0,0.0,412.3695,,,0.0,0.0,0.0,83537290->12095934588:9;12095934588->83537290:9;10554949202->1519095245:8;83574271->83574272:8;83574272->83574271:7;1519095245->10554949202:7;12507229795->11632214140:7;12964600182->13255088026:6;11632214140->12507229795:6;13255088026->12964600182:5
enterprise_compound,20260235,round_robin,600,55,0,415.3134,1.0,0.0,415.3134,,,0.0,0.0,0.0,10276852297->10276852288:14;10276852288->10276852297:14;12779957460->7013215232:13;7013215232->12779957460:13;8072761012->1218569361:11;1218569361->1218569143:10;1218569143->8072761015:10;8072761015->8072761012:10;10200584551->10200584552:6;11181295872->12505188983:6
enterprise_compound,20260236,round_robin,600,55,0,416.7977,1.0,0.0,416.7977,,,0.0,0.0,0.0,6677331642->11548117359:23;11548117359->6677331642:22;9448535777->1218569167:16;1218569167->9448535778:16;9448535778->1218569149:16;1859112777->6677331620:10;1218569149->9448535777:9;9448535775->9448535777:8;6677331620->1859112777:8;8118847243->8118847240:8
enterprise_compound,20260237,round_robin,600,55,0,413.4735,1.0,0.0,413.4735,,,0.0,0.0,0.0,1525461639->1525461635:13;1525461635->1525461639:13;1525441450->1525435943:9;1467750167->4971422293:9;4971422293->1467750167:9;1832170463->10125220299:9;1525435943->1525441450:8;10125220299->1832170463:8;7252947942->3531672555:6;3531672555->7252947942:6
enterprise_compound,20260238,round_robin,600,55,0,413.2909,1.0,0.0,413.2909,,,0.0,0.0,0.0,8119328806->12601727796:18;12601727796->8119328806:17;12601727796->8119328809:15;1525435943->1525441450:14;1525441450->1525435943:14;8119328809->12601727796:13;11548067575->11428442638:10;11428442638->11548067575:9;5271377484->8118847263:8;4971422793->4971422814:8
enterprise_compound,20260239,round_robin,600,55,0,414.0617,1.0,0.0,414.0617,,,0.0,0.0,0.0,1467764379->9739875459:11;9739875459->1467764379:10;1527763448->5901281817:10;1527763449->1527763448:9;5901281817->5901281818:9;5901281818->384753722:9;8072761012->1218569361:9;1218569361->1218569143:9;1218569143->8072761015:9;384753722->1520496367:8
enterprise_compound,20260240,round_robin,600,55,0,411.1396,1.0,0.0,411.1396,,,0.0,0.0,0.0,1218569361->1218569143:17;1218569143->8072761015:17;8072761015->8072761012:17;8072761012->1218569361:17;12499016766->6489536791:10;6489536791->12499016766:10;9739875459->9739875461:10;9739875461->9739875459:9;1467764379->9739875459:7;1478297378->1478297367:7
enterprise_compound,20260241,round_robin,600,55,1,409.2199,1.0,0.0182,409.2199,,,0.0833,0.0,0.0833,1478297367->1478297378:13;7013215232->12779957460:11;6296645355->12238573255:10;12779957460->7013215232:10;1478297378->1478297367:10;1520496415->1520496406:9;12238573255->6296645355:9;11383014072->83631086:9;83546599->1478297373:9;7245480002->7245459883:8
enterprise_compound,20260242,round_robin,600,55,2,405.2356,1.0,0.0364,405.2356,,,0.1429,0.0,0.1429,6548018098->6676944196:14;6676944196->6548018098:14;1520496331->1520496344:10;1520496344->1520496331:10;9448536887->8118847155:8;5901281818->384753722:8;10187454093->7252947437:7;8118847155->9448536887:7;6983068175->6983068150:7;7252947437->10187454093:7
enterprise_compound,20260243,round_robin,600,55,1,406.0941,1.0,0.0182,406.0941,,,0.0,0.0204,-0.0204,1478297367->1478297378:12;1478297378->1478297367:12;4960811697->4959089003:9;1520496415->1520496406:9;1520496406->1520496415:8;4959089003->4960811697:8;8621938660->6931099170:7;1218569207->504886729:7;6931099170->8621938660:7;9448535777->1218569167:6
enterprise_compound,20260244,round_robin,600,55,1,407.3881,1.0,0.0182,407.3881,,,0.0,0.0244,-0.0244,8118847345->8118847344:11;8118847344->8118847345:10;7252947459->7252948034:9;7252948034->7252947459:9;1525461635->1525461639:8;1525461639->1525461635:8;12499016766->6489536791:8;6489536791->12499016766:8;9739875459->1467764379:7;1467764379->9739875459:7
enterprise_compound,20260245,round_robin,600,55,0,413.5392,1.0,0.0,413.5392,,,0.0,0.0,0.0,11548117349->11548117326:10;11548117326->11548117349:10;9739875459->1467764379:9;1467764379->9739875459:9;9739875459->9739875461:8;11548117347->11548117349:8;1218569207->504886729:8;11548117349->11548117347:8;8685728711->8685735518:7;1677626384->1677626312:7
enterprise_compound,20260246,round_robin,600,55,0,415.2033,1.0,0.0,415.2033,,,0.0,0.0,0.0,83693918->6612285897:16;6612285897->83693918:16;4946474982->4946474983:10;4946474983->4946474982:9;1467755520->6296645359:9;6296645359->1467755520:8;11383014084->11811063447:7;11812718884->11383014084:6;11383014089->11812718884:6;8118847345->8118847344:6
enterprise_compound,20260227,nearest,600,55,1,407.428,1.0,0.0182,407.428,,,0.0,0.0238,-0.0238,1460665007->83561764:15;83561764->1460665007:14;10215084913->10215084914:11;10215084914->10215084913:10;9448535777->1218569167:9;1218569167->9448535778:9;9448535778->1218569149:9;10125220327->10268794425:8;10268794425->10125220327:8;9448535775->9448535777:7
enterprise_compound,20260228,nearest,600,55,2,401.0415,1.0,0.0364,401.0415,,,0.0,0.0465,-0.0465,1525505704->384805312:23;384805312->1525505704:22;8613429287->1505520762:7;12293992400->12294031604:6;7289897511->7289897512:6;7289897512->7289897511:6;1505520762->8613429287:6;8118847248->8118847157:5;8118847157->8118847248:5;12294031604->12293992400:5
enterprise_compound,20260229,nearest,600,55,5,389.4654,1.0,0.0909,389.4654,,,0.2222,0.0652,0.157,12779957460->7013215232:12;7013215232->12779957460:11;8119358242->7671131570:9;7671131570->8119358242:9;83512191->83536947:7;10276852305->10276852294:6;13255088033->13255088011:6;10276852294->10276852305:6;11812718733->11812718732:6;11812718732->11812718733:6
enterprise_compound,20260230,nearest,600,55,1,409.6216,1.0,0.0182,409.6216,,,0.0,0.0208,-0.0208,8119328772->12601745435:10;12601745435->8119328772:9;12499016766->6489536791:9;13130031744->1677626384:8;1677626384->1677626312:8;1677626312->1677626507:8;6489536791->12499016766:8;83594555->83551015:7;1677626507->13130031744:7;83551015->83594555:7
enterprise_compound,20260231,nearest,600,55,1,407.8449,1.0,0.0182,407.8449,,,0.0,0.0227,-0.0227,10206645971->10206645921:26;1460665007->83561764:26;10206645921->10206645971:25;83561764->1460665007:25;10125178404->389039067:10;2274089444->4960811690:10;1218569207->504886729:10;389039067->10125178404:10;4960811690->2274089444:10;504886729->1218569207:10
enterprise_compound,20260232,nearest,600,55,2,400.9168,1.0,0.0364,400.9168,,,0.0,0.05,-0.05,1530414020->1530414013:10;1530414013->1530414020:10;10554949203->10554949195:8;10554949195->10554949203:8;10554949203->1519095242:8;10269099338->10269099322:7;10269099322->10269099338:7;12499016766->6489536791:7;6489536791->12499016766:7;1519095242->10554949203:7
enterprise_compound,20260233,nearest,600,55,1,404.9311,1.0,0.0182,404.9311,,,0.0,0.0244,-0.0244,11548117359->6677331642:16;6677331642->11548117359:15;9969324133->1519089976:11;1519089976->9969324133:10;1467764379->9739875459:9;9739875459->1467764379:8;9739875459->9739875461:8;10268794425->10125220327:8;8496637477->8496637478:7;9739875461->9739875459:7
enterprise_compound,20260234,nearest,600,55,3,396.1999,1.0,0.0545,396.1999,,,0.0,0.0652,-0.0652,83537290->12095934588:23;12095934588->83537290:22;1400445717->12099873432:21;12099873432->1400445717:20;7255587393->7255587392:15;7255587392->7255587393:14;10269099229->7262033859:8;7262033859->10269099229:8;11571681741->1467764549:7;1467764549->11571681741:7
enterprise_compound,20260235,nearest,600,55,2,404.1365,1.0,0.0364,404.1365,,,0.0625,0.0256,0.0369,12779957460->7013215232:14;10276852297->10276852288:14;10276852288->10276852297:14;7013215232->12779957460:13;8072761012->1218569361:9;1218569361->1218569143:9;1218569143->8072761015:9;8072761015->8072761012:8;11963957078->11963957076:8;11963957076->11963957078:7
enterprise_compound,20260236,nearest,600,55,1,409.6028,1.0,0.0182,409.6028,,,0.0526,0.0,0.0526,6677331642->11548117359:11;1478297367->1478297378:11;1478297378->1478297367:11;11548117359->6677331642:10;1529549392->1526930737:9;8118847242->8118847369:9;1478297373->1478297367:8;1526930737->1529549392:8;1478297367->1478297373:8;1478297378->83546599:7
enterprise_compound,20260237,nearest,600,55,0,413.4116,1.0,0.0,413.4116,,,0.0,0.0,0.0,1525441450->1525435943:17;1525435943->1525441450:17;1525461639->1525461635:13;1525461635->1525461639:13;9448535777->1218569167:11;1218569167->9448535778:11;9448535778->1218569149:11;1467750167->4971422293:8;9448535775->9448535777:8;1218569149->9448535775:8
enterprise_compound,20260238,nearest,600,55,0,411.8612,1.0,0.0,411.8612,,,0.0,0.0,0.0,1525435943->1525441450:16;1525441450->1525435943:15;11548067575->11428442638:12;11428442638->11548067575:12;12601727792->12601727797:8;12601727797->12601727792:8;1677626312->1677626507:7;6610945740->6610945741:7;1677626507->13130031744:7;13130031744->1677626384:7
enterprise_compound,20260239,nearest,600,55,0,413.2473,1.0,0.0,413.2473,,,0.0,0.0,0.0,1467764379->9739875459:11;12293992388->12293992391:11;9739875459->1467764379:10;12293992391->12293992388:10;9448535777->1218569167:9;1218569167->9448535778:9;9448535778->1218569149:9;10554874825->10554874852:8;10554874852->10554874825:8;9739875459->9739875461:7
enterprise_compound,20260240,nearest,600,55,1,404.6346,1.0,0.0182,404.6346,,,0.0385,0.0,0.0385,1218569361->1218569143:12;1218569143->8072761015:11;8072761015->8072761012:11;8072761012->1218569361:11;1400445717->12099873432:11;12499016766->6489536791:11;6489536791->12499016766:11;12099873432->1400445717:10;1478297367->1478297378:8;12238573286->12238573290:7
enterprise_compound,20260241,nearest,600,55,4,384.6391,1.0,0.0727,384.6391,,,0.0833,0.0698,0.0136,6296645355->12238573255:18;12238573255->6296645355:18;7013215232->12779957460:11;12779957460->7013215232:11;1520496415->1520496406:8;13002042317->8685728711:7;1520496406->1520496415:7;83594555->83551015:7;83574276->83574278:6;83574278->83574276:6
enterprise_compound,20260242,nearest,600,55,2,398.6456,1.0,0.0364,398.6456,,,0.1429,0.0,0.1429,9448535777->1218569167:14;1218569167->9448535778:14;9448535778->1218569149:13;83551015->83594555:9;8118847155->9448536887:9;6983068175->6983068150:9;6983068150->6983068175:9;1218569149->9448535775:8;9448535775->9448535777:8;83594555->83551015:8
enterprise_compound,20260243,nearest,600,55,2,399.075,1.0,0.0364,399.075,,,0.0,0.0408,-0.0408,1478297367->1478297378:21;1478297378->1478297367:18;9448535777->1218569167:13;1218569167->9448535778:13;9448535775->9448535777:12;9448535778->1218569149:12;1218569207->504886729:11;504886729->1218569207:11;1218569149->9448535775:11;1520496415->1520496406:9
enterprise_compound,20260244,nearest,600,55,2,398.5787,1.0,0.0364,398.5787,,,0.0714,0.0244,0.047,12499016766->6489536791:14;6489536791->12499016766:14;1525461635->1525461639:12;1525461639->1525461635:12;1859112777->83631107:6;83631107->1859112777:6;12507265501->12507265504:5;10269098998->8685755886:5;12507265504->12507265501:5;11146389883->11206885132:5
enterprise_compound,20260245,nearest,600,55,1,408.7909,1.0,0.0182,408.7909,,,0.0588,0.0,0.0588,9739875459->1467764379:11;1467764379->9739875459:11;8613429287->1505520762:10;1505520762->8613429287:10;11548117349->11548117326:10;83561764->1460665007:9;1832170463->10125220299:9;10125220299->1832170463:9;11548117326->11548117349:9;10274251505->10274265613:9
enterprise_compound,20260246,nearest,600,55,1,407.3437,1.0,0.0182,407.3437,,,0.0526,0.0,0.0526,83693918->6612285897:14;1520496344->1520496331:12;6612285897->83693918:12;4946474982->4946474983:11;1520496331->1520496344:11;12507229797->12507265501:10;4946474983->4946474982:10;12507265501->12507229797:10;11963957112->11963957114:9;12372272604->1478297638:9
enterprise_compound,20260227,priority_faculty,600,55,0,418.5931,1.0,0.0,418.5931,,,0.0,0.0,0.0,1460665007->83561764:38;83561764->1460665007:36;8118847140->8118847139:8;8118847139->8118847140:8;12507265601->12507265599:7;12507265599->12507265601:7;11812718979->11812719038:6;8118847401->3588409199:6;10938415728->5271377457:5;11965860191->11965860200:5
enterprise_compound,20260228,priority_faculty,600,55,0,414.9446,1.0,0.0,414.9446,,,0.0,0.0,0.0,1525505704->384805312:19;384805312->1525505704:18;1478297373->83546599:10;9448535777->1218569167:10;1218569167->9448535778:10;9448535775->9448535777:9;9448535778->1218569149:9;7148335449->8118847247:8;1218569149->9448535775:8;83546599->1478297373:7
enterprise_compound,20260229,priority_faculty,600,55,1,406.3955,1.0,0.0182,406.3955,,,0.1111,0.0,0.1111,12779957460->7013215232:12;83512191->384765307:11;7013215232->12779957460:11;8119358242->7671131570:11;7671131570->8119358242:11;83512191->83536947:10;83536947->83512191:10;384765307->83512191:10;7157724487->7157724488:9;11048144362->389015304:9
enterprise_compound,20260230,priority_faculty,600,55,0,418.0645,1.0,0.0,418.0645,,,0.0,0.0,0.0,6677331642->11548117359:19;11548117359->6677331642:18;12499016766->6489536791:14;6489536791->12499016766:14;10276852305->10276852294:10;10276852294->10276852305:10;83536947->83512191:10;7252947424->7252947423:9;83512191->83536947:9;7252947423->7252947424:8
enterprise_compound,20260231,priority_faculty,600,55,1,408.4365,1.0,0.0182,408.4365,,,0.0,0.0227,-0.0227,10206645971->10206645921:15;10206645921->10206645971:14;2274089444->4960811690:12;4960811690->2274089444:11;7245509787->83531876:9;1525435943->1525441450:9;13130031744->1677626384:8;1525441450->1525435943:8;1677626384->1677626312:7;1677626312->1677626507:7
enterprise_compound,20260232,priority_faculty,600,55,0,415.7348,1.0,0.0,415.7348,,,0.0,0.0,0.0,12499016766->6489536791:8;6489536791->12499016766:7;9448535777->1218569167:6;1218569167->9448535778:6;9448535778->1218569149:6;7157724573->10566490493:6;10566490493->7157724573:6;11962061171->11962061169:5;10554949203->10554949195:5;1218569149->9448535775:5
enterprise_compound,20260233,priority_faculty,600,55,0,413.1717,1.0,0.0,413.1717,,,0.0,0.0,0.0,9969324133->1519089976:10;1519089976->9969324133:10;1467764379->9739875459:10;9739875459->1467764379:10;359405417->83662412:9;83662412->359405417:8;10269099227->10269099232:7;10269099232->10269099227:7;10942772655->1519096935:7;1519096935->10942772655:7
enterprise_compound,20260234,priority_faculty,600,55,0,413.5598,1.0,0.0,413.5598,,,0.0,0.0,0.0,7255587393->7255587392:16;7255587392->7255587393:16;83537290->12095934588:15;12095934588->83537290:15;10125220324->10268794419:8;1478297373->83546599:8;10268794419->10125220324:7;12507229799->12507229795:6;1478297367->1478297373:6;1530428883->5929354717:5
enterprise_compound,20260235,priority_faculty,600,55,1,407.0827,1.0,0.0182,407.0827,,,0.0625,0.0,0.0625,10276852297->10276852288:12;10276852288->10276852297:11;12779957460->7013215232:10;8072761012->1218569361:9;1218569361->1218569143:9;1218569143->8072761015:9;7013215232->12779957460:9;8072761015->8072761012:8;1529819106->10200584551:8;83594555->83551015:7
enterprise_compound,20260236,priority_faculty,600,55,1,408.4792,1.0,0.0182,408.4792,,,0.0526,0.0,0.0526,1832170532->11674142969:15;11674142969->1832170532:14;1478297367->1478297373:11;1478297378->1478297367:10;1529549392->1526930737:9;1478297373->1478297367:9;1526930737->1529549392:9;1478297373->83546599:8;9448535777->1218569167:8;1218569167->9448535778:8
enterprise_compound,20260237,priority_faculty,600,55,0,413.7614,1.0,0.0,413.7614,,,0.0,0.0,0.0,1525441450->1525435943:14;1525435943->1525441450:14;1525461639->1525461635:11;11412881620->6821837419:10;1525461635->1525461639:10;6821837419->11412881620:9;9448535777->1218569167:8;1218569167->9448535778:8;9448535778->1218569149:8;1467750167->4971422293:7
enterprise_compound,20260238,priority_faculty,600,55,0,412.9046,1.0,0.0,412.9046,,,0.0,0.0,0.0,1525435943->1525441450:12;1525441450->1525435943:11;1467764379->9739875459:11;9739875459->1467764379:10;12601727796->8119328809:9;6610945740->6610945741:8;8119328809->12601727796:8;12601727797->12601727792:7;6610945741->6610945740:7;5271377484->8118847263:7
