scenario,seed,policy,step_limit,final_alive,final_reached,final_avg_exposure,alive_rate,reached_rate,avg_exposure_total,t90_step,t95_step,faculty_reached_rate,staff_reached_rate,reach_rate_gap,top_bottlenecks,persona_part_time_student_reached_rate,persona_part_time_student_count,persona_young_student_reached_rate,persona_young_student_count,persona_student_with_anxiety_reached_rate,persona_student_with_anxiety_count,persona_facilities_staff_reached_rate,persona_facilities_staff_count,persona_visitor_reached_rate,persona_visitor_count,persona_international_student_reached_rate,persona_international_student_count,persona_junior_faculty_reached_rate,persona_junior_faculty_count,persona_senior_faculty_reached_rate,persona_senior_faculty_count,persona_student_athlete_reached_rate,persona_student_athlete_count,persona_it_staff_reached_rate,persona_it_staff_count,persona_staff_admin_reached_rate,persona_staff_admin_count,persona_mobility_impaired_reached_rate,persona_mobility_impaired_count,persona_research_scientist_reached_rate,persona_research_scientist_count,persona_conference_attendee_reached_rate,persona_conference_attendee_count,persona_freshman_student_reached_rate,persona_freshman_student_count,persona_campus_security_reached_rate,persona_campus_security_count,persona_healthcare_staff_reached_rate,persona_healthcare_staff_count,persona_graduate_student_reached_rate,persona_graduate_student_count,persona_adjunct_instructor_reached_rate,persona_adjunct_instructor_count,role_student_reached_rate,role_student_count,role_staff_reached_rate,role_staff_count,role_visitor_reached_rate,role_visitor_count,role_faculty_reached_rate,role_faculty_count,shelter_reassignments,shelter_capacity_enabled,interaction_density_enabled,drqn_unreached_debug,persona_prospective_student_with_parent_reached_rate,persona_prospective_student_with_parent_count
enterprise_blizzard_light,20260227,drqn,600,55,41,64.5388,1.0,0.7455,64.5388,,,0.8889,0.8333,0.0556,7245459837->11206886817:83;11206886817->7245459837:81;11206886817->11206886815:74;11206886815->11206886817:71;11181443770->11181443779:11;11181443779->386248026:11;10550594344->11406519908:11;386248026->1530473146:11;11406519908->11406519909:11;1530473146->1530466308:11,1.0,2,0.5,6,0.6667,3,1.0,4,1.0,1,0.7143,7,1.0,2,1.0,6,1.0,4,1.0,1,1.0,2,1.0,1,1.0,1,0.6667,3,0.5,6,1.0,2,0.0,2,0.0,1,0.0,1,0.6552,29,0.8333,12,0.8,5,0.8889,9,0,False,False,[],,
enterprise_blizzard_light,20260228,drqn,600,55,42,44.5713,1.0,0.7636,44.5713,,,1.0,0.6923,0.3077,1519090097->1525526361:9;10171975058->10550594356:8;10550594356->10550594344:8;10550594344->10550594430:8;8118847235->11571681761:8;10550594430->10550594431:8;11571681761->10938415728:8;10550594431->10550594437:8;10938415728->8118847237:8;10550594437->10550594435:8,0.5,2,0.875,8,0.0,1,0.5,2,,,0.5714,7,1.0,1,1.0,5,1.0,2,0.0,1,0.6,5,,,1.0,1,1.0,1,0.6667,6,1.0,1,1.0,3,0.8333,6,1.0,3,0.7188,32,0.6923,13,1.0,1,1.0,9,0,False,False,[],,
enterprise_blizzard_light,20260229,drqn,600,55,41,52.4845,1.0,0.7455,52.4845,,,0.9091,0.9,0.0091,1529819106->6983068149:95;6983068149->1529819106:94;7442801229->6610945745:91;6610945745->7442801229:90;12394873119->4946474593:67;4946474593->12394873119:67;10200584576->10200584567:59;10200584567->10200584576:58;1529726079->1529726123:42;1529726123->1529726079:42,0.0,1,0.7143,7,0.0,3,1.0,2,0.5,2,0.0,1,1.0,3,0.8571,7,1.0,1,1.0,3,1.0,2,,,0.5,2,0.0,1,0.8889,9,1.0,1,,,0.8571,7,1.0,1,0.6897,29,0.9,10,0.4,5,0.9091,11,0,False,False,[],0.5,2
enterprise_blizzard_light,20260230,drqn,600,55,42,24.2757,1.0,0.7636,24.2757,,,0.8,0.9333,-0.1333,1530225948->6677697018:9;1218569207->504886729:9;10220116648->10220116649:8;5836227408->1530414144:8;504886729->1218569207:8;1530206531->11965813832:7;11965813832->1530225948:7;6677697018->1530225821:7;1530414196->1530414197:7;1530225821->10200333101:7,0.5,2,0.8,5,0.0,2,1.0,5,1.0,1,1.0,1,1.0,3,0.6667,6,1.0,1,1.0,5,1.0,1,,,,,0.0,1,0.625,8,1.0,1,0.6667,3,0.7778,9,1.0,1,0.6786,28,0.9333,15,0.5,2,0.8,10,0,False,False,[],,
enterprise_blizzard_light,20260231,drqn,600,55,43,23.6148,1.0,0.7818,23.6148,,,0.8,0.8571,-0.0571,10566580568->10566580567:17;10566580567->13276899743:17;13276899743->6677331627:17;7245480014->7245459856:16;7245459856->7245459855:16;7245459855->7256764794:16;7256764794->7245480025:16;7245480025->11378617113:16;11378617113->11378617115:16;11378617115->7245459837:16,0.0,1,1.0,6,0.5,2,0.5,2,0.5,2,0.75,4,0.8,5,0.75,4,1.0,3,,,1.0,2,0.5,2,,,0.5,2,0.7143,7,1.0,1,1.0,2,0.875,8,1.0,1,0.8065,31,0.8571,7,0.5714,7,0.8,10,0,False,False,[],1.0,1
enterprise_blizzard_light,20260232,drqn,600,55,42,15.7775,1.0,0.7636,15.7775,,,0.7778,0.6667,0.1111,1530225948->6677697018:13;6448827255->6448827254:10;6448827254->6404901788:10;1530206531->11965813832:9;1832170440->6448827255:9;10207853478->6240395061:9;11965813832->1530225948:8;1530225510->10200387289:8;10200387289->1832170440:8;6983068125->10207853478:8,1.0,1,0.6,10,1.0,5,1.0,1,0.5,2,,,1.0,2,0.8333,6,1.0,4,0.3333,3,1.0,4,,,0.0,1,1.0,1,0.8571,7,,,,,0.7143,7,0.0,1,0.7941,34,0.6667,9,0.6667,3,0.7778,9,0,False,False,[],,
enterprise_blizzard_light,20260233,drqn,600,55,46,19.1862,1.0,0.8364,19.1862,,,0.9167,1.0,-0.0833,1525526373->1519090049:10;10554874837->4937846511:8;4937846511->1400583676:8;11181443770->11181443779:7;11181443779->386248026:7;10554949203->10554949204:7;386248026->1530473146:7;10554949204->10554949202:7;1530473146->1530466308:7;10554949202->1519095245:7,0.0,1,0.6923,13,0.6667,3,,,1.0,1,0.0,1,1.0,3,0.8333,6,1.0,3,1.0,3,1.0,3,,,,,,,0.875,8,,,1.0,1,1.0,6,1.0,3,0.7714,35,1.0,7,1.0,1,0.9167,12,0,False,False,[],,
enterprise_blizzard_light,20260234,drqn,600,55,43,20.1364,1.0,0.7818,20.1364,,,0.8571,0.8,0.0571,8496637476->8496637479:11;10550594435->10550594420:10;8496637479->8496637476:10;6620830800->11206886789:9;10550594420->10550594470:8;10550594470->6620771272:8;6620771272->6620771273:8;6620771273->10550646564:8;10550646564->6620830799:8;6620830799->6620830800:8,0.5,2,0.875,8,0.25,4,0.75,4,1.0,1,,,1.0,2,0.8,5,0.6667,3,,,0.6667,3,,,0.6667,3,0.5,2,0.8333,6,1.0,3,1.0,2,1.0,7,,,0.7667,30,0.8,15,0.6667,3,0.8571,7,0,False,False,[],,
enterprise_blizzard_light,20260235,drqn,600,55,42,56.7703,1.0,0.7636,56.7703,,,0.7143,1.0,-0.2857,384765307->83560917:15;6575625870->4937862846:14;83560917->83531908:14;1407781207->1400441858:13;83512191->384765307:13;83531908->83512191:13;83536947->83512191:12;83512191->83536947:10;6055513161->1525505916:9;83662412->359405417:9,0.3333,3,0.5556,9,0.5,2,,,,,0.6,5,1.0,2,0.75,4,1.0,1,1.0,2,1.0,3,1.0,1,1.0,3,,,0.7778,9,1.0,1,1.0,1,1.0,8,0.0,1,0.7027,37,1.0,10,1.0,1,0.7143,7,0,False,False,[],,
enterprise_blizzard_light,20260236,drqn,600,55,48,31.0712,1.0,0.8727,31.0712,,,1.0,0.9444,0.0556,8118847344->8118847240:145;8118847240->8118847344:144;8496637476->8496637479:123;8496637479->8496637476:118;6448823287->3620750336:57;3620750336->1530457301:57;3620750336->6448823287:55;1530457301->3620750336:55;1530414076->1530414078:25;1530414076->1530414080:23,1.0,1,1.0,7,1.0,1,1.0,5,1.0,2,0.6,5,1.0,2,1.0,1,1.0,3,1.0,1,0.8571,7,,,1.0,2,1.0,1,0.4286,7,1.0,2,1.0,1,1.0,7,,,0.8065,31,0.9444,18,1.0,3,1.0,3,0,False,False,[],,
enterprise_blizzard_light,20260237,drqn,600,55,43,15.3277,1.0,0.7818,15.3277,,,0.7143,0.9,-0.1857,4119764212->10200601421:16;5798161559->4119764212:15;6496723775->4374241273:14;8685742115->5798161559:13;6404901788->6448827254:11;6448827254->6448827255:11;10200601421->4119764212:11;4374241273->6496723775:10;10554949206->1519095242:10;4119764212->5798161559:10,1.0,1,0.6,10,0.8333,6,1.0,1,0.5,2,1.0,4,0.75,4,1.0,1,,,1.0,3,1.0,2,,,0.75,4,,,0.8333,6,,,,,0.75,8,0.5,2,0.7714,35,0.9,10,0.6667,3,0.7143,7,0,False,False,[],1.0,1
