scenario,seed,policy,step_limit,final_alive,final_reached,final_avg_exposure,alive_rate,reached_rate,avg_exposure_total,t90_step,t95_step,faculty_reached_rate,staff_reached_rate,reach_rate_gap,top_bottlenecks,persona_part_time_student_reached_rate,persona_part_time_student_count,persona_young_student_reached_rate,persona_young_student_count,persona_student_with_anxiety_reached_rate,persona_student_with_anxiety_count,persona_facilities_staff_reached_rate,persona_facilities_staff_count,persona_visitor_reached_rate,persona_visitor_count,persona_international_student_reached_rate,persona_international_student_count,persona_junior_faculty_reached_rate,persona_junior_faculty_count,persona_senior_faculty_reached_rate,persona_senior_faculty_count,persona_student_athlete_reached_rate,persona_student_athlete_count,persona_it_staff_reached_rate,persona_it_staff_count,persona_staff_admin_reached_rate,persona_staff_admin_count,persona_mobility_impaired_reached_rate,persona_mobility_impaired_count,persona_research_scientist_reached_rate,persona_research_scientist_count,persona_conference_attendee_reached_rate,persona_conference_attendee_count,persona_freshman_student_reached_rate,persona_freshman_student_count,persona_campus_security_reached_rate,persona_campus_security_count,persona_healthcare_staff_reached_rate,persona_healthcare_staff_count,persona_graduate_student_reached_rate,persona_graduate_student_count,persona_adjunct_instructor_reached_rate,persona_adjunct_instructor_count,role_student_reached_rate,role_student_count,role_staff_reached_rate,role_staff_count,role_visitor_reached_rate,role_visitor_count,role_faculty_reached_rate,role_faculty_count,shelter_reassignments,shelter_capacity_enabled,interaction_density_enabled,drqn_unreached_debug,persona_prospective_student_with_parent_reached_rate,persona_prospective_student_with_parent_count
enterprise_blizzard_moderate,20260227,drqn,600,55,28,122.0046,1.0,0.5091,122.0046,,,0.7778,0.6667,0.1111,4374241247->4374241266:209;4374241266->4374241247:209;1525462145->1525462325:207;1525462325->1525462145:207;1525512026->83583401:202;83583401->1525512026:202;11571706269->11548970575:199;5271377401->5271377399:199;5271377399->5271377401:199;11548970575->11571706269:198,1.0,2,0.5,6,0.0,3,0.75,4,1.0,1,0.1429,7,1.0,2,0.8333,6,0.25,4,1.0,1,1.0,2,1.0,1,1.0,1,0.3333,3,0.5,6,0.5,2,0.0,2,0.0,1,0.0,1,0.3448,29,0.6667,12,0.6,5,0.7778,9,0,False,False,"[{'agent_id': 3, 'node': 5271377908, 'goal': 13195940221, 'current_target': 13195940221, 'committed_next': None, 'candidates': [], 'q_values': [-96.96004486083984, -97.61500549316406, -96.41029357910156, -96.9769058227539, -94.96373748779297, -70.92487335205078, -60.762855529785156, -0.5244057178497314, 0.8354074358940125], 'masked_q_values': [-96.96004486083984, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 6, 'node': 1525512034, 'goal': 13195940221, 'current_target': 13195940221, 'committed_next': None, 'candidates': [], 'q_values': [-157.04306030273438, -160.75009155273438, -157.66494750976562, -160.75341796875, -158.13217163085938, -125.36730194091797, -112.19538116455078, -0.23443472385406494, 0.12335561215877533], 'masked_q_values': [-157.04306030273438, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 8, 'node': 11897468754, 'goal': 10216185939, 'current_target': 10216185939, 'committed_next': None, 'candidates': [], 'q_values': [-154.33871459960938, -157.975341796875, -155.1506805419922, -156.4595947265625, -154.27880859375, -122.67134094238281, -109.09961700439453, -0.23550163209438324, 0.12654392421245575], 'masked_q_values': [-154.33871459960938, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 10, 'node': 8119328772, 'goal': 13195940221, 'current_target': 13195940221, 'committed_next': None, 'candidates': [], 'q_values': [-156.37677001953125, -160.3973388671875, -156.810546875, -159.76443481445312, -157.05447387695312, -124.34201049804688, -112.57244873046875, -0.2313738465309143, 0.11433945596218109], 'masked_q_values': [-156.37677001953125, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 11, 'node': 1525511874, 'goal': 7118760379, 'current_target': 7118760379, 'committed_next': None, 'candidates': [], 'q_values': [-155.57460021972656, -159.58824157714844, -155.91265869140625, -159.6096649169922, -156.7154083251953, -123.81525421142578, -112.00584411621094, -0.24149581789970398, 0.0828493982553482], 'masked_q_values': [-155.57460021972656, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 19, 'node': 5271377379, 'goal': 13195940221, 'current_target': 13195940221, 'committed_next': None, 'candidates': [], 'q_values': [-133.54676818847656, -135.8758087158203, -133.18112182617188, -133.5994415283203, -132.8588104248047, -106.20008850097656, -93.74028015136719, -0.16650067269802094, 0.358809232711792], 'masked_q_values': [-133.54676818847656, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 23, 'node': 10566580541, 'goal': 8580601234, 'current_target': 8580601234, 'committed_next': None, 'candidates': [], 'q_values': [-157.90328979492188, -161.9122772216797, -158.26315307617188, -160.72032165527344, -157.71754455566406, -125.18789672851562, -113.31598663330078, -0.27933987975120544, 0.10283534228801727], 'masked_q_values': [-157.90328979492188, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 29, 'node': 2464023753, 'goal': 10216185939, 'current_target': 10216185939, 'committed_next': None, 'candidates': [], 'q_values': [-159.9005126953125, -163.68280029296875, -160.0974578857422, -163.02862548828125, -160.0447998046875, -127.05863189697266, -114.29517364501953, -0.241660475730896, 0.12229214608669281], 'masked_q_values': [-159.9005126953125, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 33, 'node': 11548970575, 'goal': 7118760379, 'current_target': 7118760379, 'committed_next': None, 'candidates': [], 'q_values': [-152.03866577148438, -155.7013397216797, -152.78089904785156, -155.70497131347656, -153.37049865722656, -121.26483917236328, -108.7872543334961, -0.27553489804267883, 0.04657857120037079], 'masked_q_values': [-152.03866577148438, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 37, 'node': 5271378057, 'goal': 13195940221, 'current_target': 13195940221, 'committed_next': None, 'candidates': [], 'q_values': [-138.61004638671875, -141.98419189453125, -139.2069854736328, -139.4712677001953, -138.43304443359375, -109.72783660888672, -96.54722595214844, -0.15030065178871155, 0.16322006285190582], 'masked_q_values': [-138.61004638671875, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 38, 'node': 10566490494, 'goal': 11048144375, 'current_target': 11048144375, 'committed_next': None, 'candidates': [], 'q_values': [-153.72982788085938, -158.01585388183594, -153.57012939453125, -157.20672607421875, -153.9091339111328, -121.58348846435547, -111.43160247802734, -0.23440469801425934, 0.11963300406932831], 'masked_q_values': [-153.72982788085938, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 39, 'node': 6296618612, 'goal': 13195940221, 'current_target': 13195940221, 'committed_next': None, 'candidates': [], 'q_values': [-153.65219116210938, -157.27171325683594, -154.2457275390625, -157.25469970703125, -154.86593627929688, -122.50218963623047, -109.74983978271484, -0.23005598783493042, 0.09995569288730621], 'masked_q_values': [-153.65219116210938, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}]",,
enterprise_blizzard_moderate,20260228,drqn,600,55,40,33.2649,1.0,0.7273,33.2649,,,0.7778,0.8182,-0.0404,1525511891->1519090097:8;1519090097->1525526361:8;1525461639->1525461635:8;1525461635->1224162504:8;1224162504->1224162558:8;1224162558->1530414280:8;1530414280->1530414271:8;1530414271->2032007175:8;2032007175->1530428895:8;1530428895->1530428843:8,1.0,1,0.7,10,0.0,2,0.5,2,,,0.5714,7,,,0.8,5,1.0,2,0.0,1,1.0,3,,,1.0,1,1.0,1,0.6667,6,1.0,1,1.0,3,0.8333,6,0.75,4,0.6765,34,0.8182,11,1.0,1,0.7778,9,0,False,False,[],,
enterprise_blizzard_moderate,20260229,drqn,600,55,40,72.9894,1.0,0.7273,72.9894,,,0.8182,0.9,-0.0818,10269099291->10269099292:70;10269099292->10269099291:69;10554949206->10554949205:46;10554949205->10554949206:46;7245459837->11206886817:14;11206886817->11206886815:14;11206886815->8473506958:14;8473506958->6615501684:14;10171975058->10171990457:13;10171990457->7245480014:13,0.0,1,0.7143,7,0.0,3,1.0,2,0.5,2,0.0,1,1.0,3,0.7143,7,1.0,1,1.0,3,1.0,2,,,0.5,2,0.0,1,0.8889,9,1.0,1,,,0.8571,7,1.0,1,0.6897,29,0.9,10,0.4,5,0.8182,11,0,False,False,[],0.5,2
enterprise_blizzard_moderate,20260230,drqn,600,55,34,119.421,1.0,0.6182,119.421,,,0.8,0.8333,-0.0333,10554878495->10554854740:207;10554854740->10554878495:207;4971422784->4971422781:202;4971422781->4971422784:202;7466241870->6616196945:159;6616196945->7466241870:159;7252947955->83594533:155;83594533->7252947955:155;7252947916->7252947915:143;7252947915->7252947916:143,0.6667,3,0.7143,7,0.0,2,1.0,3,0.0,1,1.0,1,1.0,3,0.6667,6,1.0,1,0.75,4,1.0,2,,,,,0.0,1,0.1667,6,,,0.6667,3,0.5455,11,1.0,1,0.5161,31,0.8333,12,0.0,2,0.8,10,0,False,False,"[{'agent_id': 2, 'node': 6701019773, 'goal': 11577641197, 'current_target': 11577641197, 'committed_next': None, 'candidates': [], 'q_values': [-157.47854614257812, -161.3438720703125, -158.02297973632812, -160.5379638671875, -157.91502380371094, -125.22151184082031, -112.80301666259766, -0.23253563046455383, 0.1151939183473587], 'masked_q_values': [-157.47854614257812, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 7, 'node': 7290039932, 'goal': 10125220313, 'current_target': 10125220313, 'committed_next': None, 'candidates': [], 'q_values': [-158.92041015625, -162.8477020263672, -159.2852020263672, -161.81312561035156, -158.8439483642578, -126.23754119873047, -113.90978240966797, -0.26758450269699097, 0.12908543646335602], 'masked_q_values': [-158.92041015625, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 25, 'node': 4971422784, 'goal': 11577641197, 'current_target': 11577641197, 'committed_next': None, 'candidates': [], 'q_values': [-152.14254760742188, -156.2998504638672, -152.49200439453125, -157.05703735351562, -153.79327392578125, -121.3599853515625, -109.89938354492188, -0.2564852237701416, 0.13394825160503387], 'masked_q_values': [-152.14254760742188, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 28, 'node': 1488125821, 'goal': 11577641197, 'current_target': 11577641197, 'committed_next': None, 'candidates': [], 'q_values': [-153.88092041015625, -158.10269165039062, -153.73678588867188, -157.90524291992188, -154.6497039794922, -122.12452697753906, -111.30973052978516, -0.2141556739807129, 0.12946642935276031], 'masked_q_values': [-153.88092041015625, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 35, 'node': 5808050694, 'goal': 1530414144, 'current_target': 1530414144, 'committed_next': None, 'candidates': [], 'q_values': [-159.84007263183594, -163.64195251464844, -160.13229370117188, -162.31573486328125, -159.3043670654297, -126.79439544677734, -113.50228881835938, -0.27420681715011597, 0.14769841730594635], 'masked_q_values': [-159.84007263183594, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}, {'agent_id': 39, 'node': 7252947920, 'goal': 10125220313, 'current_target': 10125220313, 'committed_next': None, 'candidates': [], 'q_values': [-157.80682373046875, -161.82894897460938, -158.15444946289062, -160.64630126953125, -157.75387573242188, -125.12566375732422, -113.3652114868164, -0.25476863980293274, 0.1126207560300827], 'masked_q_values': [-157.80682373046875, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}]",,
enterprise_blizzard_moderate,20260231,drqn,600,55,40,47.4164,1.0,0.7273,47.4164,,,0.8,0.5714,0.2286,11529389593->8118847146:29;11529389605->11529389593:26;11529389593->11529389605:25;8118847146->11529389593:25;10566580568->10566580567:17;10566580567->13276899743:17;13276899743->6677331627:17;10550594430->10550594344:15;10550594344->10550594356:15;10550594356->10171975058:15,0.0,1,1.0,6,0.5,2,0.0,2,0.5,2,0.75,4,0.8,5,0.75,4,1.0,3,,,1.0,2,0.5,2,,,0.5,2,0.7143,7,1.0,1,0.5,2,0.75,8,1.0,1,0.7742,31,0.5714,7,0.5714,7,0.8,10,0,False,False,[],1.0,1
enterprise_blizzard_moderate,20260232,drqn,600,55,40,65.0307,1.0,0.7273,65.0307,,,0.8889,0.4286,0.4603,4374241287->1524306587:45;1524306587->4374241287:45;4374241287->13199976131:43;13199976131->4374241287:41;10276670851->10276670852:30;10276670852->10276670851:30;7245459837->11206886817:17;11206886817->11206886815:17;11206886815->8473506958:17;8473506958->6615501684:17,1.0,1,0.6667,12,1.0,3,,,0.5,2,0.6667,3,1.0,2,1.0,5,1.0,3,0.0,2,0.5,2,1.0,1,0.0,1,1.0,1,0.7143,7,1.0,1,1.0,1,0.6667,6,0.5,2,0.7429,35,0.4286,7,0.75,4,0.8889,9,0,False,False,[],,
enterprise_blizzard_moderate,20260233,drqn,600,55,40,27.7069,1.0,0.7273,27.7069,,,0.75,0.7143,0.0357,1529549392->1526930737:11;10200584607->10200601421:11;1526930737->10200581317:11;1519090097->1525526373:11;1525526373->1519090049:11;1519089996->1526930599:9;1526930599->10216186103:9;1519089976->9969324135:9;10216186103->1519089984:9;9969324135->10200584614:9,0.0,1,0.6923,13,0.6667,3,,,1.0,1,0.0,1,1.0,3,0.5,6,1.0,3,1.0,3,0.3333,3,,,,,,,0.875,8,,,1.0,1,0.6667,6,1.0,3,0.7143,35,0.7143,7,1.0,1,0.75,12,0,False,False,[],,
enterprise_blizzard_moderate,20260234,drqn,600,55,40,88.8031,1.0,0.7273,88.8031,,,0.8571,0.7333,0.1238,10550594422->10550594424:137;10550594424->10550594422:137;10550594426->10550594428:72;10550594428->10550594426:71;7245480025->7256764794:13;10550594431->10550594437:12;10550594344->10550594430:12;10550594356->10550594344:11;10550646564->6620830799:11;10550594437->10550594435:10,0.5,2,0.875,8,0.25,4,0.75,4,1.0,1,,,1.0,2,0.8,5,0.3333,3,,,0.6667,3,,,0.6667,3,0.5,2,0.8333,6,0.6667,3,1.0,2,0.8571,7,,,0.7,30,0.7333,15,0.6667,3,0.8571,7,0,False,False,"[{'agent_id': 34, 'node': 10550594428, 'goal': 1525505969, 'current_target': 1525505969, 'committed_next': None, 'candidates': [], 'q_values': [-150.317626953125, -153.63963317871094, -151.28402709960938, -152.61624145507812, -150.47779846191406, -119.52910614013672, -105.9795150756836, -0.30589455366134644, 0.02727942168712616], 'masked_q_values': [-150.317626953125, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}]",,
enterprise_blizzard_moderate,20260235,drqn,600,55,40,35.9901,1.0,0.7273,35.9901,,,0.4286,1.0,-0.5714,10220116632->10220116650:19;10220116642->10220116630:18;10220116630->10220116631:18;10220116631->10220116632:17;1530225806->10221745747:11;10221745747->10221745754:11;10221745754->10221745750:11;10221745750->10220116642:11;1530225948->6677697018:10;1530206531->11965813832:9,0.3333,3,0.5556,9,0.6667,3,,,,,0.5,4,0.5,2,0.5,4,1.0,2,1.0,2,1.0,2,1.0,2,1.0,3,,,0.75,8,1.0,1,1.0,2,1.0,7,0.0,1,0.6944,36,1.0,10,1.0,2,0.4286,7,0,False,False,[],,
enterprise_blizzard_moderate,20260236,drqn,600,55,40,83.9328,1.0,0.7273,83.9328,,,0.6667,0.6471,0.0196,8496637476->8496637479:129;8496637479->8496637476:123;3637550196->8118847140:118;8118847140->3637550196:116;1530414078->1530414092:65;1530414092->1530414078:64;8118847456->8118847340:27;8118847340->8118847337:27;8118847340->8118847456:23;8118847337->8118847340:22,1.0,1,1.0,7,1.0,1,0.8,5,1.0,1,0.6,5,0.5,2,1.0,1,1.0,3,1.0,1,0.7143,7,,,0.0,1,1.0,1,0.5,8,0.5,2,0.0,1,0.75,8,,,0.7576,33,0.6471,17,1.0,2,0.6667,3,0,False,False,"[{'agent_id': 32, 'node': 8118847137, 'goal': 2026701044, 'current_target': 2026701044, 'committed_next': None, 'candidates': [], 'q_values': [-100.8428955078125, -102.32141876220703, -99.54763793945312, -99.29463958740234, -98.04633331298828, -80.77811431884766, -70.28783416748047, -0.2834949195384979, 0.18535833060741425], 'masked_q_values': [-100.8428955078125, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0], 'action_mask': [1, 0, 0, 0, 0, 0, 0, 0, 0], 'density_penalties': {}}]",,
